"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","620.821","657.12","4450.147","657.046","414.66","437.866","1205.675"
"SD_Ann","1409.361","1179.933","9608.951","971.293","559.008","1727.462","4326.77"
"CV_Ann","2.27","1.796","2.159","1.478","1.348","3.945","3.589"
"Q10_Mag","8.1","15.25","340.04","32","0","0","0"
"Q25_Mag","15.6","68.475","668.7","73","15","0","31"
"Q50_Mag","215.5","281.75","1475.4","213","146","0","256.55"
"Q75_Mag","534.2","589.5","3363.6","781","621","189.275","898.8"
"Q90_Mag","1309.14","1898.95","9253.58","2247.4","1298.8","505.45","2325.14"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","140","78","1","60","68","251","99"
"Q50_Tim","224","117","120","126","124","258","161"
"Q75_Tim","249","134","135","128","171","227","173"
"Q90_Tim","240","131","133","154","196","227","180"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","5","3","1","2","5","3","3"
"Q50_Fre","7","7","3","7","5","3","5"
"Q75_Fre","9","6","7","6","3","1","5"
"Q90_Fre","5","7","8","3","1","1","4"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","254","320","365","334","245","139","276"
"Q50_Dur","173","206","347","170","155","71","187"
"Q75_Dur","60","73","249","88","63","25","93"
"Q90_Dur","23","27","124","39","2","20","39"
"Q10_Mag_Lng_Evt","12244.5","9927.7","68286.9","6683","2475","14456","19012"
"Q25_Mag_Lng_Evt","12244.5","9927.7","68286.9","6683","2475","14456","19012"
"Q50_Mag_Lng_Evt","12244.5","8938.8","68286.9","3308","2475","14456","18284"
"Q75_Mag_Lng_Evt","12244.5","5367.5","68286.9","3308","2475","14456","17689"
"Q90_Mag_Lng_Evt","11696.8","8938.8","68286.9","3308","2475","14456","18193"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","152","113","1","1","42","227","89"
"Q50_Strt_Tim_Lng_Evt","275","23","1","165","135","227","137"
"Q75_Strt_Tim_Lng_Evt","281","184","56","173","184","227","184"
"Q90_Strt_Tim_Lng_Evt","213","27","57","191","196","227","151"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","aut","win","win","sum","spr","sum","sum"
"Q75_Strt_Sea_Lng_Evt","aut","sum","win","sum","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","sum","sum","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","214","209","365","259","214","92","225"
"Q50_Dur_Lng_Evt","91","64","156","69","112","45","89"
"Q75_Dur_Lng_Evt","13","22","91","55","39","25","40"
"Q90_Dur_Lng_Evt","7","7","55","28","2","20","19"
"Init_Mag","105.381","547.256","1571.864","885.037","31.771","254.673","565.997"
"Init_Tim","72","-29","1","-26","14","-50","-3"
"Init_Dur","8","4","8","6","18","10","9"
"Wet_BFL_Mag_10","87.9","118.35","281.24","81.2","147.8","0.08","119.428"
"Wet_BFL_Mag_50","396.9","414.45","1806.8","445.5","611","4358.5","1338.858"
"Wet_Tim","148","19","50","-34","71","221","79.167"
"Wet_BFL_Dur","163","198","227","247","128","15","163"
"Peak_Mag_Ann","12244.5","9927.7","68286.9","6683","2475","14456","19012.183"
"Peak_Mag_Tim","281","131","83","108","197","235","172.5"
"Peak_Mag_95","8042.8","5640.8","33285.3","5953",NA,"14456","13475.58"
"Peak_Mag_90","4388.8","5367.5","5342.3","5223","2475","14456","6208.767"
"Peak_Mag_80","4355.75","5367.5","7475.9","3308","1901","14456","6144.025"
"Peak_Dur_95","12","9","76","7",NA,"10","22.8"
"Peak_Dur_90","23","27","124","39","2","20","39.167"
"Peak_Dur_80","41","57","216","72","42","24","75.333"
"Peak_Fre_95","4","5","6","2",NA,"1","3.6"
"Peak_Fre_90","5","7","8","3","1","1","4.167"
"Peak_Fre_80","6","7","6","5","2","1","4.5"
"Peak_Tim_95","247","131","92.5","54.5",NA,"228","150.6"
"Peak_Tim_90","213","184","153","107","196","227","180"
"Peak_Tim_80","247","184","122","58","176.5","227","169.083"
"Rec_Mag","4388.8","5640.8","62738.9","2921","2312","14456","15409.583"
"Rec_Tim","310","216","276","212","198","235","241.167"
"Rec_Dur","22","121","52","132","87","83","82.833"
"Rec_ROC","0.147","0.16","0.099","0.11","0.135","0.095","0.124"
"Dry_Mag_90","855.04","2494.7","608.56","145","15","329","741.217"
"Dry_Mag_50","356","782.6","571.35","14","0","158.9","313.808"
"Dry_Mag_10","253.16","0","550.8","0","0","16.44","136.733"
"Dry_Tim","332","337","328","344","285","318","324"
"Dry_Dur","53","80","4","93","302","49","96.833"
"Dry_NoFL_Days","0","24","0","21","243","0","48"
"No_Peaks_Avg","1","1","1.625","1",NA,"2","1.325"
"No_Peaks_Max","1","1","2","1",NA,"2","1.4"
"Frac_V_Cent_Avg","0.567","0.733","0.581","0.833",NA,"0.6","0.663"
"Frac_V_Cent_Max","0.667","1","0.556","1",NA,"0.6","0.765"
