"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","21.801","1.659","485.391","107.509","10.869","156.883","130.638"
"SD_Ann","114.245","13.041","1723.935","579.523","73.669","756.694","822.396"
"CV_Ann","5.24","7.861","3.552","5.39","6.778","4.823","6.295"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","0","0","0.5","0","0","0","0"
"Q75_Mag","0","0","51.3","12.4","0","0","0.525"
"Q90_Mag","28.42","0.1","622.06","112","0","111","66.59"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","254","16","171","176","158","214","164"
"Q90_Tim","252","26","169","211","165","214","172"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","5","2","4","5","2","1","3"
"Q90_Fre","5","1","4","6","2","1","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","80","31","185","153","27","76","92"
"Q90_Dur","26","2","89","51","14","47","38"
"Q10_Mag_Lng_Evt","1719.6","195.3","16390.3","7237.1","968.5","6460.8","5495"
"Q25_Mag_Lng_Evt","1719.6","195.3","16390.3","7237.1","968.5","6460.8","5495"
"Q50_Mag_Lng_Evt","1719.6","195.3","16390.3","7237.1","968.5","6460.8","5495"
"Q75_Mag_Lng_Evt","588.2","195.3","16390.3","1197","968.5","6460.8","4300"
"Q90_Mag_Lng_Evt","588.2","195.3","16390.3","7237.1","968.5","6460.8","5306"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","278","25","245","113","173","214","174"
"Q90_Strt_Tim_Lng_Evt","278","26","247","235","174","214","195"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","aut","win","aut","spr","sum","sum","aut"
"Q90_Strt_Sea_Lng_Evt","aut","win","aut","sum","sum","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","22","19","101","78","20","76","52"
"Q90_Dur_Lng_Evt","9","2","46","27","12","47","23"
"Init_Mag","0","85.533","4387.442","34.917","55.629","0","760.587"
"Init_Tim","204","-10","84","116","115","209","119.667"
"Init_Dur","3","34","15","8","7","8","12.5"
"Wet_BFL_Mag_10","0","0","0","0","0","0","0"
"Wet_BFL_Mag_50","0.25","0.95","0.7","189.7","0","68.45","43.342"
"Wet_Tim","204","-19","58","230","167","209","141.5"
"Wet_BFL_Dur","78","46","218","20","9","18","64.833"
"Peak_Mag_Ann","1719.6","195.3","16390.3","7237.1","968.5","6460.8","5495.267"
"Peak_Mag_Tim","213","26","275","249","175","226","194"
"Peak_Mag_95","465.2",NA,"2501.85","1491.95","968.5","5200.8","2125.66"
"Peak_Mag_90","342.2","195.3","5101.45","259.25","558.35","6460.8","2152.892"
"Peak_Mag_80","342.2","195.3","2443.6","286.7","558.35","6460.8","1714.492"
"Peak_Dur_95","10",NA,"60","22","3","30","25"
"Peak_Dur_90","26","2","89","51","14","47","38.167"
"Peak_Dur_80","65","11","154","122","23","72","74.5"
"Peak_Fre_95","4",NA,"6","4","1","3","3.6"
"Peak_Fre_90","5","1","4","6","2","1","3.167"
"Peak_Fre_80","5","1","5","5","2","1","3.167"
"Peak_Tim_95","227.5",NA,"157","241.5","174","223","204.6"
"Peak_Tim_90","243","26","144.5","190.5","144","214","160.333"
"Peak_Tim_80","242","25","203","218","143.5","214","174.25"
"Rec_Mag","588.2","195.3","16390.3","7237.1","968.5","6460.8","5306.7"
"Rec_Tim","281","26","275","249","175","226","205.333"
"Rec_Dur","23","25","74","68","26","66","47"
"Rec_ROC","0.309","0.29","0.119","0.353","0.324","0.333","0.288"
"Dry_Mag_90","0","0","43.58","0","0","0","7.263"
"Dry_Mag_50","0","0","0","0","0","0","0"
"Dry_Mag_10","0","0","0","0","0","0","0"
"Dry_Tim","304","51","349","317","201","292","252.333"
"Dry_Dur","43","374","247","216","374","75","221.5"
"Dry_NoFL_Days","43","370","149","208","374","75","203.167"
"No_Peaks_Avg","1",NA,"1.273","1","1","1.333","1.121"
"No_Peaks_Max","1",NA,"2","1","1","2","1.4"
"Frac_V_Cent_Avg","0.867",NA,"0.724","0.513","0.667","0.715","0.697"
"Frac_V_Cent_Max","0.667",NA,"0.417","0.4","0.667","0.364","0.503"
