"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","17.926","1.111","481.515","103.632","8.07","153.006","127.497"
"SD_Ann","102.849","7.523","1718.556","577.452","63.578","745.803","818.101"
"CV_Ann","5.737","6.773","3.569","5.572","7.879","4.874","6.417"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","0","0","0.5","0","0","0","0"
"Q75_Mag","0","0","49.7","12.4","0","0","0.525"
"Q90_Mag","22.18","0.1","622.06","86.46","0","86.55","50.2"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","254","16","171","176","158","214","164"
"Q90_Tim","259","26","170","210","169","215","174"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","5","2","4","5","2","1","3"
"Q90_Fre","5","1","4","6","2","1","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","80","31","185","153","27","76","92"
"Q90_Dur","22","1","93","55","11","49","38"
"Q10_Mag_Lng_Evt","1633.6","109.3","16390.3","7237.1","882.5","6374.8","5437"
"Q25_Mag_Lng_Evt","1633.6","109.3","16390.3","7237.1","882.5","6374.8","5437"
"Q50_Mag_Lng_Evt","1633.6","109.3","16390.3","7237.1","882.5","6374.8","5437"
"Q75_Mag_Lng_Evt","502.2","109.3","16390.3","1111","882.5","6374.8","4228"
"Q90_Mag_Lng_Evt","502.2","109.3","16390.3","7237.1","882.5","6374.8","5249"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","278","25","245","113","173","214","174"
"Q90_Strt_Tim_Lng_Evt","278","26","247","235","174","215","195"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","aut","win","aut","spr","sum","sum","aut"
"Q90_Strt_Sea_Lng_Evt","aut","win","aut","sum","sum","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","22","19","101","78","20","76","52"
"Q90_Dur_Lng_Evt","10","1","48","28","10","49","24"
"Init_Mag","0","85.533","4290.643","29.882","32.783","0","739.807"
"Init_Tim","204","-10","84","116","115","209","119.667"
"Init_Dur","3","34","12","8","7","8","12"
"Wet_BFL_Mag_10","0","0","0","0","0","0","0"
"Wet_BFL_Mag_50","0.25","0.95","0.1","189.7","0","59.35","41.725"
"Wet_Tim","204","-19","69","230","167","209","143.333"
"Wet_BFL_Dur","78","46","207","20","9","18","63"
"Peak_Mag_Ann","1633.6","109.3","16390.3","7237.1","882.5","6374.8","5437.933"
"Peak_Mag_Tim","213","26","275","249","175","226","194"
"Peak_Mag_95","502.2",NA,"2501.85","1405.95","882.5","5200.8","2098.66"
"Peak_Mag_90","256.2","109.3","5058.45","216.25","477.1","6374.8","2082.017"
"Peak_Mag_80","256.2","109.3","2443.6","286.7","477.1","6374.8","1657.95"
"Peak_Dur_95","8",NA,"59","22","3","27","23.8"
"Peak_Dur_90","22","1","93","55","11","49","38.5"
"Peak_Dur_80","65","11","154","122","23","72","74.5"
"Peak_Fre_95","3",NA,"6","4","1","3","3.4"
"Peak_Fre_90","5","1","4","6","2","1","3.167"
"Peak_Fre_80","5","1","5","5","2","1","3.167"
"Peak_Tim_95","243",NA,"156.5","241.5","174","238","210.6"
"Peak_Tim_90","243","26","144.5","190.5","144.5","215","160.583"
"Peak_Tim_80","242","25","203","218","143.5","214","174.25"
"Rec_Mag","502.2","109.3","16390.3","7237.1","882.5","6374.8","5249.367"
"Rec_Tim","281","26","275","249","175","226","205.333"
"Rec_Dur","23","26","74","68","26","66","47.167"
"Rec_ROC","0.305","0.255","0.119","0.353","0.478","0.338","0.308"
"Dry_Mag_90","0","0","43.58","0","0","0","7.263"
"Dry_Mag_50","0","0","0","0","0","0","0"
"Dry_Mag_10","0","0","0","0","0","0","0"
"Dry_Tim","304","52","349","317","201","292","252.5"
"Dry_Dur","43","384","247","216","374","75","223.167"
"Dry_NoFL_Days","43","369","149","208","374","75","203"
"No_Peaks_Avg","1",NA,"1.3","1.25","1","1.5","1.21"
"No_Peaks_Max","1",NA,"2","1","1","2","1.4"
"Frac_V_Cent_Avg","0.792",NA,"0.646","0.463","0.667","0.56","0.626"
"Frac_V_Cent_Max","0.667",NA,"0.417","0.4","0.667","0.364","0.503"
