"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","267.894","309.92","949.164","191.457","838.02","2984.06","924.079"
"SD_Ann","1175.303","1461.114","4655.583","1194.169","6162.582","13764.104","6574.747"
"CV_Ann","4.387","4.714","4.905","6.237","7.354","4.613","7.115"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","0","0","0","0","0","0","0"
"Q75_Mag","0","0","187.4","0","0","0.075","1.8"
"Q90_Mag","376.74","299.3","1139.36","168.88","288.74","1357","490.9"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","170","206","1","256","277","232","190"
"Q90_Tim","172","243","56","265","291","237","210"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","1","2","1","1","1","1","1"
"Q90_Fre","1","4","4","2","3","2","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","75","82","146","71","85","91","91"
"Q90_Dur","38","28","57","17","28","56","37"
"Q10_Mag_Lng_Evt","10071.9","11876.3","49152.4","14263.2","77867","122545.2","47629"
"Q25_Mag_Lng_Evt","10071.9","11876.3","49152.4","14263.2","77867","122545.2","47629"
"Q50_Mag_Lng_Evt","10071.9","11876.3","49152.4","14263.2","77867","122545.2","47629"
"Q75_Mag_Lng_Evt","10071.9","9884.2","49152.4","14263.2","77867","122545.2","47297"
"Q90_Mag_Lng_Evt","10071.9","9884.2","49152.4","14263.2","77867","122545.2","47297"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","170","194","1","256","277","232","188"
"Q90_Strt_Tim_Lng_Evt","172","194","76","257","277","232","201"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","sum","sum","win","aut","aut","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","sum","spr","aut","aut","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","75","76","146","71","85","91","90"
"Q90_Dur_Lng_Evt","38","10","30","11","13","51","25"
"Init_Mag","0","0","8502.081","0","0","1620.7","1687.13"
"Init_Tim","166","188","-2","243","270","237","183.667"
"Init_Dur","11","11","5","2","12","11","8.667"
"Wet_BFL_Mag_10","0","0","409.71","0","0","1434.13","307.307"
"Wet_BFL_Mag_50","955.35","0","3473.2","0","0","29548.85","5662.9"
"Wet_Tim","166","188","74","243","270","237","196.333"
"Wet_BFL_Dur","24","8","14","16","9","22","15.5"
"Peak_Mag_Ann","10071.9","11876.3","49152.4","14263.2","77867","122545.2","47629.333"
"Peak_Mag_Tim","189","363","87","258","278","245","236.667"
"Peak_Mag_95","7154","9884.2","3884","7983.5","41106.15","122545.2","32092.842"
"Peak_Mag_90","10071.9","5858","3884","7983.5","4345.3","61618","15626.783"
"Peak_Mag_80","10071.9","9884.2","49152.4","7203.4","77867","122545.2","46120.683"
"Peak_Dur_95","14","13","28","8","13","37","18.833"
"Peak_Dur_90","38","28","57","17","28","56","37.333"
"Peak_Dur_80","51","66","127","52","61","86","73.833"
"Peak_Fre_95","2","3","4","2","2","1","2.333"
"Peak_Fre_90","1","4","4","2","3","2","2.667"
"Peak_Fre_80","1","3","1","2","1","1","1.5"
"Peak_Tim_95","179.5","222","43.5","268","292","233","206.333"
"Peak_Tim_90","172","227","42.5","268","297","259.5","211"
"Peak_Tim_80","171","260","1","282.5","277","232","203.917"
"Rec_Mag","10071.9","9884.2","49152.4","14263.2","77867","64196.7","37572.567"
"Rec_Tim","189","195","87","258","278","258","210.833"
"Rec_Dur","57","76","60","71","75","66","67.5"
"Rec_ROC","0.149","0.144","0.087","0.131","0.168","0.102","0.13"
"Dry_Mag_90","0","1318.43","0","0","0","0","219.738"
"Dry_Mag_50","0","0","0","0","0","0","0"
"Dry_Mag_10","0","0","0","0","0","0","0"
"Dry_Tim","246","271","147","329","353","324","278.333"
"Dry_Dur","308","170","462","307","250","43","256.667"
"Dry_NoFL_Days","308","90","462","307","234","43","240.667"
"No_Peaks_Avg","1","1","1","1","1","1.5","1.083"
"No_Peaks_Max","1","1","1","1","1","2","1.167"
"Frac_V_Cent_Avg","0.422","0.667","0.537","0.714","0.542","0.338","0.537"
"Frac_V_Cent_Max","0.444","0.5","0.75","0.429","0.333","0.276","0.455"
