"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","261.952","307.572","925.275","182.287","817.113","2937.008","905.855"
"SD_Ann","1170.7","1460.763","4607.486","1159.016","6124.943","13635.9","6515.199"
"CV_Ann","4.469","4.749","4.98","6.358","7.496","4.643","7.192"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","0","0","0","0","0","0","0"
"Q75_Mag","0","0","187.4","0","0","0.075","1.8"
"Q90_Mag","376.74","287.45","1084.32","168.88","288.74","1351","439.31"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","170","206","1","256","277","232","190"
"Q90_Tim","172","246","48","265","292","232","209"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","1","2","1","1","1","1","1"
"Q90_Fre","1","4","3","2","3","1","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","75","82","146","71","85","91","91"
"Q90_Dur","39","27","62","19","26","61","39"
"Q10_Mag_Lng_Evt","10071.9","11876.3","48802.4","13945.2","77561","121877.2","47355"
"Q25_Mag_Lng_Evt","10071.9","11876.3","48802.4","13945.2","77561","121877.2","47355"
"Q50_Mag_Lng_Evt","10071.9","11876.3","48802.4","13945.2","77561","121877.2","47355"
"Q75_Mag_Lng_Evt","10071.9","9884.2","48802.4","13945.2","77561","121877.2","47023"
"Q90_Mag_Lng_Evt","10071.9","9884.2","48802.4","13945.2","77561","121877.2","47023"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","170","194","1","256","277","232","188"
"Q90_Strt_Tim_Lng_Evt","172","194","61","257","277","232","198"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","sum","sum","win","aut","aut","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","sum","win","aut","aut","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","75","76","146","71","85","91","90"
"Q90_Dur_Lng_Evt","39","8","45","12","11","61","29"
"Init_Mag","0","0","8482.946","0","0","1608.7","1681.941"
"Init_Tim","166","188","-2","243","270","237","183.667"
"Init_Dur","11","11","5","2","12","11","8.667"
"Wet_BFL_Mag_10","0","0","409.71","0","0","1422.13","305.307"
"Wet_BFL_Mag_50","905.8","0","3473.2","0","0","28880.85","5543.308"
"Wet_Tim","166","188","74","243","270","237","196.333"
"Wet_BFL_Dur","24","8","14","16","9","22","15.5"
"Peak_Mag_Ann","10071.9","11876.3","48802.4","13945.2","77561","121877.2","47355.667"
"Peak_Mag_Tim","189","363","87","258","278","245","236.667"
"Peak_Mag_95","7154","9884.2","3884","7759.6","40794.15","121877.2","31892.192"
"Peak_Mag_90","10071.9","5858","3901.9","7759.6","4027.3","121877.2","25582.65"
"Peak_Mag_80","10071.9","9884.2","48802.4","7044.4","77561","121877.2","45873.517"
"Peak_Dur_95","14","14","28","7","12","38","18.833"
"Peak_Dur_90","39","27","62","19","26","61","39"
"Peak_Dur_80","51","66","127","52","61","86","73.833"
"Peak_Fre_95","2","3","4","2","2","1","2.333"
"Peak_Fre_90","1","4","3","2","3","1","2.333"
"Peak_Fre_80","1","3","1","2","1","1","1.5"
"Peak_Tim_95","179.5","221","43.5","268","292","233","206.167"
"Peak_Tim_90","172","226.5","24","268","297","232","203.25"
"Peak_Tim_80","171","260","1","282.5","277","232","203.917"
"Rec_Mag","10071.9","9884.2","48802.4","13945.2","77561","63528.7","37298.9"
"Rec_Tim","189","195","87","258","278","258","210.833"
"Rec_Dur","57","76","60","71","75","66","67.5"
"Rec_ROC","0.17","0.142","0.084","0.13","0.141","0.101","0.128"
"Dry_Mag_90","0","1267.62","0","0","0","0","211.27"
"Dry_Mag_50","0","0","0","0","0","0","0"
"Dry_Mag_10","0","0","0","0","0","0","0"
"Dry_Tim","246","271","147","329","353","324","278.333"
"Dry_Dur","308","170","462","307","250","43","256.667"
"Dry_NoFL_Days","308","90","462","307","234","43","240.667"
"No_Peaks_Avg","1","1","1","1","1","1.5","1.083"
"No_Peaks_Max","1","1","1","1","1","2","1.167"
"Frac_V_Cent_Avg","0.5","0.667","0.537","0.75","0.562","0.333","0.558"
"Frac_V_Cent_Max","0.5","0.5","0.75","0.5","0.375","0.267","0.482"
