"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","6598.773","4964.444","24046.279","5339.895","5663.481","4895.025","8581.315"
"SD_Ann","3147.709","1697.747","25012.277","2447.547","1667.351","1743.669","12495.88"
"CV_Ann","0.477","0.342","1.04","0.458","0.294","0.356","1.456"
"Q10_Mag","3271.28","2518.95","4232.9","3245.02","3169.4","2714.7","3129.97"
"Q25_Mag","4389.6","3347.75","5663.8","3879.1","4252.7","3539.75","3902.4"
"Q50_Mag","6507.6","5492.6","10788.9","4823.3","5865.2","4561.4","5670.75"
"Q75_Mag","7251.2","6578.95","35813.3","6190.2","7081.9","6431.7","7040.775"
"Q90_Mag","9383.04","6722.1","61113.78","7665.36","7651.26","7254.35","12245.85"
"Q10_Tim","37","1","19","47","63","81","41"
"Q25_Tim","1","80","44","92","49","92","59"
"Q50_Tim","72","141","21","130","118","139","103"
"Q75_Tim","103","124","27","160","183","171","128"
"Q90_Tim","25",NA,"22","154",NA,NA,"67"
"Q10_Fre","3","1","2","3","5","7","3"
"Q25_Fre","1","3","3","7","4","7","4"
"Q50_Fre","2","2","3","4","4","5","3"
"Q75_Fre","9","2","4","4","8","3","5"
"Q90_Fre","1",NA,"1","1",NA,NA,"1"
"Q10_Dur","345","304","355","354","337","308","333"
"Q25_Dur","297","232","342","277","300","248","282"
"Q50_Dur","238","153","278","117","211","127","187"
"Q75_Dur","126","20","223","41","104","55","94"
"Q90_Dur","29",NA,"179","15",NA,NA,"74"
"Q10_Mag_Lng_Evt","17939.5","8132.4","94239.8","17834.7","8941.1","10713.5","26300"
"Q25_Mag_Lng_Evt","17939.5","8132.4","94239.8","17834.7","8941.1","10713.5","26300"
"Q50_Mag_Lng_Evt","9449.7","7865.6","94239.8","17834.7","8941.1","7781.9","24352"
"Q75_Mag_Lng_Evt","8239","8132.4","94239.8","17834.7","8941.1","7529.9","24152"
"Q90_Mag_Lng_Evt","17939.5",NA,"94239.8","17834.7",NA,NA,"43338"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","29","54","14"
"Q25_Strt_Tim_Lng_Evt","1","63","5","62","40","82","42"
"Q50_Strt_Tim_Lng_Evt","85","154","7","129","134","151","110"
"Q75_Strt_Tim_Lng_Evt","154","87","12","153","151","181","123"
"Q90_Strt_Tim_Lng_Evt","25",NA,"22","154",NA,NA,"67"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
