"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","2257.287","1696.768","6956.641","2457.801","1690.789","2618.874","2945.64"
"SD_Ann","3649.181","2237.871","11113.019","3580.028","2068.703","3184.796","5606.554"
"CV_Ann","1.617","1.319","1.597","1.457","1.224","1.216","1.903"
"Q10_Mag","203.8","160","513.6","335.88","222.1","196.5","221.88"
"Q25_Mag","305.7","261.25","640","467.5","333.4","354.375","402.975"
"Q50_Mag","963.4","813.5","1540","1200","851.1","1361.6","1101.3"
"Q75_Mag","2103.5","2156.75","9776","2666","1984","3705.85","3009.5"
"Q90_Mag","7325.04","4824","19313.4","5899.78","4475.34","6102.1","7450.2"
"Q10_Tim","106","93","1","1","85","110","65"
"Q25_Tim","91","92","76","64","73","116","85"
"Q50_Tim","94","132","36","35","73","132","83"
"Q75_Tim","12","151","6","76","53","135","71"
"Q90_Tim","2","219","11","68","48","161","85"
"Q10_Fre","6","4","1","1","4","6","3"
"Q25_Fre","4","8","2","5","5","5","4"
"Q50_Fre","5","5","4","2","7","5","4"
"Q75_Fre","3","5","3","5","3","7","4"
"Q90_Fre","2","4","2","3","2","4","2"
"Q10_Dur","314","293","365","365","329","310","329"
"Q25_Dur","244","226","360","307","253","264","275"
"Q50_Dur","181","152","214","201","161","219","188"
"Q75_Dur","61","63","145","84","63","133","91"
"Q90_Dur","38","19","115","19","15","19","37"
"Q10_Mag_Lng_Evt","21460.3","7923","79976","29153.9","10777.4","11683","26828"
"Q25_Mag_Lng_Evt","21460.3","7923","79976","29153.9","10777.4","11683","26828"
"Q50_Mag_Lng_Evt","21460.3","7923","79976","29153.9","10777.4","11683","26828"
"Q75_Mag_Lng_Evt","21460.3","7923","79976","29153.9","10777.4","11683","26828"
"Q90_Mag_Lng_Evt","21460.3","12818","79976","29153.9","10777.4","25848.2","30005"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","12","1","6","1","1","3"
"Q75_Strt_Tim_Lng_Evt","1","24","1","37","27","9","16"
"Q90_Strt_Tim_Lng_Evt","1","359","12","47","40","306","127"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q90_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q10_Dur_Lng_Evt","187","195","365","365","232","171","252"
"Q25_Dur_Lng_Evt","170","153","258","246","195","149","195"
"Q50_Dur_Lng_Evt","126","78","177","184","116","114","132"
"Q75_Dur_Lng_Evt","52","29","141","57","55","75","68"
"Q90_Dur_Lng_Evt","37","8","109","11","14","8","31"
"Init_Mag","19143.1","1275.795","3276.549","1357.554","2767.6","902.499","4787.183"
"Init_Tim","1","-40","-48","-63","-12","-56","-36.333"
"Init_Dur","8","24","25","9","13","7","14.333"
"Wet_BFL_Mag_10","9799.52","658.8","7950","1299.05","729.74","1551.74","3664.808"
"Wet_BFL_Mag_50","13478.7","1339","14569","3662.35","1770.4","3110.25","6321.617"
"Wet_Tim","1","1","8","32","3","-3","7"
"Wet_BFL_Dur","19","163","91","126","165","20","97.333"
"Peak_Mag_Ann","21460.3","12818","79976","29153.9","10777.4","25848.2","30005.633"
"Peak_Mag_Tim","19","362","98","50","41","308","146.333"
"Peak_Mag_95","20301.7","12818","33154","15531",NA,"25848.2","21530.58"
"Peak_Mag_90","14575.85","8130.5","44994.5","15531","9556.65","10117.45","17150.992"
"Peak_Mag_80","13913.1","6179","5663","11019.85","8335.9","8015.15","8854.333"
"Peak_Dur_95","16","6","79","10",NA,"6","23.4"
"Peak_Dur_90","38","19","115","19","15","19","37.5"
"Peak_Dur_80","53","47","137","68","48","88","73.5"
"Peak_Fre_95","2","1","4","3",NA,"1","2.2"
"Peak_Fre_90","2","4","2","3","2","4","2.833"
"Peak_Fre_80","2","4","3","4","3","6","3.667"
"Peak_Tim_95","6","361","38.5","48",NA,"306","151.9"
"Peak_Tim_90","22.5","190.5","6.5","47","103.5","173.5","90.583"
"Peak_Tim_80","37","170.5","137","108.5","167","188.5","134.75"
"Rec_Mag","21460.3","2052","79976","15531","8335.9","10650.4","23000.933"
"Rec_Tim","19","163","98","157","167","16","103.333"
"Rec_Dur","170","74","146","98","67","158","118.833"
"Rec_ROC","0.062","0.094","0.072","0.067","0.097","0.057","0.075"
"Dry_Mag_90","1293.52","7646.8","1512.82","1322.84","1793.62","6118.66","3281.377"
"Dry_Mag_50","342.55","298.5","595.5","409.2","320","1024.3","498.342"
"Dry_Mag_10","184.28","139.7","448","267.24","195.22","179.1","235.59"
"Dry_Tim","189","237","244","255","234","174","222.167"
"Dry_Dur","178","138","154","114","129","193","151"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1.5","1","2","1",NA,"1","1.3"
"No_Peaks_Max","2","1","3","1",NA,"1","1.6"
"Frac_V_Cent_Avg","0.542","0.667","0.523","0.857",NA,"0.5","0.618"
"Frac_V_Cent_Max","0.583","0.667","0.318","0.571",NA,"0.5","0.528"
