"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","363.91","235.529","1611.914","316.064","39.382","592.974","526.526"
"SD_Ann","588.519","267.102","2600.794","341.976","122.142","1524.538","1365.553"
"CV_Ann","1.617","1.134","1.613","1.082","3.101","2.571","2.594"
"Q10_Mag","0","0.2","114.48","2.94","0","0","0"
"Q25_Mag","13.4","7.6","248.5","51.7","0","0","0"
"Q50_Mag","92.3","74.45","558.4","199.9","0","0.2","77.55"
"Q75_Mag","469","423.375","1241","492.6","0","205.975","463.15"
"Q90_Mag","1126.3","636.8","4953.38","814.82","46","2165.85","1078.43"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","216","75","114","121","321","207","175"
"Q75_Tim","241","112","147","119","345","227","198"
"Q90_Tim","274",NA,"154","255",NA,"222","226"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","3","5","3","6","2","2","3"
"Q75_Fre","5","8","7","7","1","2","5"
"Q90_Fre","4",NA,"3","5",NA,"1","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","191","182","342","253","35","105","184"
"Q75_Dur","93","82","205","103","12","69","94"
"Q90_Dur","38",NA,"123","16",NA,"47","56"
"Q10_Mag_Lng_Evt","3498.7","1002","12820.4","1786.4","494.2","9373.3","4829"
"Q25_Mag_Lng_Evt","3498.7","1002","12820.4","1786.4","494.2","9373.3","4829"
"Q50_Mag_Lng_Evt","3498.7","1002","6997.6","1011.6","494.2","9373.3","3729"
"Q75_Mag_Lng_Evt","3498.7","921.2","12820.4","994.2","494.2","9373.3","4683"
"Q90_Mag_Lng_Evt","3498.7",NA,"12820.4","1237.7",NA,"9373.3","6732"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","275","1","201","1","333","222","172"
"Q75_Strt_Tim_Lng_Evt","283","212","76","1","345","222","189"
"Q90_Strt_Tim_Lng_Evt","286",NA,"77","315",NA,"222","225"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","aut","win","sum","win","aut","sum","aut"
"Q75_Strt_Sea_Lng_Evt","aut","sum","spr","win","win","sum","sum"
"Q90_Strt_Sea_Lng_Evt","aut",NA,"spr","aut",NA,"sum","aut"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","91","112","165","89","33","98","98"
"Q75_Dur_Lng_Evt","54","25","83","42","12","65","46"
"Q90_Dur_Lng_Evt","15",NA,"77","6",NA,"47","36"
"Init_Mag","39.044","3038.333","940.925","292.572","56.673","457.531","804.18"
"Init_Tim","7","-76","29","-179","129","-19","-18.167"
"Init_Dur","6","12","10","18","3","24","12.167"
"Wet_BFL_Mag_10","135.92","28.5","393.65","52.95",NA,"0","122.204"
"Wet_BFL_Mag_50","344.9","351.2","4155","382.05",NA,"2809.5","1608.53"
"Wet_Tim","189","-94","71","-103","326","213","100.333"
"Wet_BFL_Dur","39","323","36","366",NA,"27","158.2"
"Peak_Mag_Ann","3498.7","1002","12820.4","1786.4","494.2","9373.3","4829.167"
"Peak_Mag_Tim","288","41","106","262","354","226","212.833"
"Peak_Mag_95","3498.7",NA,"9909",NA,NA,"6087","6498.233"
"Peak_Mag_90","1840.55",NA,"6997.6","1318.4",NA,"9373.3","4882.462"
"Peak_Mag_80","1479.85","903.5","4028.45","1220.1",NA,"5152.35","2556.85"
"Peak_Dur_95","7",NA,"70",NA,NA,"39","38.667"
"Peak_Dur_90","38",NA,"123","16",NA,"47","56"
"Peak_Dur_80","85","52","184","72",NA,"60","90.6"
"Peak_Fre_95","1",NA,"2",NA,NA,"2","1.667"
"Peak_Fre_90","4",NA,"3","5",NA,"1","3.25"
"Peak_Fre_80","4","7","4","8",NA,"2","5"
"Peak_Tim_95","287",NA,"181.5",NA,NA,"243.5","237.333"
"Peak_Tim_90","254.5",NA,"272","244",NA,"222","248.125"
"Peak_Tim_80","208","72","64","133.5",NA,"251","145.7"
"Rec_Mag","1625.9","903.5","12820.4","1786.4","103.2","6218.3","3909.617"
"Rec_Tim","227","228","106","262","128","239","198.333"
"Rec_Dur","37","129","63","98","33","103","77.167"
"Rec_ROC","0.137","0.2","0.097","0.19","0.308","0.092","0.171"
"Dry_Mag_90","33.31","945.4","334.48","0.2","66.6","30.96","235.158"
"Dry_Mag_50","27.9","412.7","171.85","0","0","10.1","103.758"
"Dry_Mag_10","23.9","0","62.92","0","0","5.22","15.34"
"Dry_Tim","264","357","169","360","161","342","275.5"
"Dry_Dur","8","81","94","332","418","25","159.667"
"Dry_NoFL_Days","0","10","0","287","339","0","106"
"No_Peaks_Avg","1",NA,"1.5",NA,NA,"1.5","1.333"
"No_Peaks_Max","1",NA,"2",NA,NA,"1","1.333"
"Frac_V_Cent_Avg","0.571",NA,"0.526",NA,NA,"0.534","0.544"
"Frac_V_Cent_Max","0.571",NA,"0.469",NA,NA,"0.444","0.495"
