"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","102.977","6.048","115.687","11.275","0","45.495","46.894"
"SD_Ann","520.879","18.36","326.801","58.606","0","291.152","282.374"
"CV_Ann","5.058","3.036","2.825","5.198","NaN","6.4","6.021"
"Q10_Mag","0","0","0","0","0","0","0"
"Q25_Mag","0","0","0","0","0","0","0"
"Q50_Mag","0","0","11.1","0","0","0","0"
"Q75_Mag","28.1","0.9","86.2","0","0","0","0.825"
"Q90_Mag","120.82","16.75","258.08","8.7","0","0","54.55"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","1","1","1","1","1","1","1"
"Q75_Tim","236","59","155","104",NA,"225","155"
"Q90_Tim","224","118","127","167",NA,"225","172"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","1","1","1","1","1","1","1"
"Q75_Fre","4","6","4","5",NA,"1","4"
"Q90_Fre","5","3","4","3",NA,"1","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","365","366","365","365","365","366","365"
"Q75_Dur","143","93","223","61",NA,"32","110"
"Q90_Dur","62","12","111","20",NA,"21","45"
"Q10_Mag_Lng_Evt","7377.4","164.1","2532.2","738.7","0","3827.8","2440"
"Q25_Mag_Lng_Evt","7377.4","164.1","2532.2","738.7","0","3827.8","2440"
"Q50_Mag_Lng_Evt","7377.4","164.1","2532.2","738.7","0","3827.8","2440"
"Q75_Mag_Lng_Evt","1008.9","151.2","2532.2","738.7",NA,"3827.8","1651"
"Q90_Mag_Lng_Evt","4177.5","151.2","2527.2","738.7",NA,"3827.8","2284"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q75_Strt_Tim_Lng_Evt","298","1","267","181",NA,"225","194"
"Q90_Strt_Tim_Lng_Evt","179","26","55","181",NA,"225","133"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","aut","win","aut","sum",NA,"sum","aut"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q75_Dur_Lng_Evt","68","50","99","23",NA,"32","54"
"Q90_Dur_Lng_Evt","24","6","74","13",NA,"21","27"
"Init_Mag","0","4.788","534.217","25.16",NA,"0","112.833"
"Init_Tim","157","-120","57","-8",NA,"219","61"
"Init_Dur","11","13","10","8",NA,"27","13.8"
"Wet_BFL_Mag_10","0","0","0","0",NA,"0","0"
"Wet_BFL_Mag_50","62.9","2.05","257.05","0",NA,"0","64.4"
"Wet_Tim","157","-73","49","125",NA,"219","95.4"
"Wet_BFL_Dur","26","290","48","64",NA,"11","87.8"
"Peak_Mag_Ann","7377.4","164.1","2532.2","738.7","0","3827.8","2440.033"
"Peak_Mag_Tim","165","216","274","188","1","229","178.833"
"Peak_Mag_95","2593.2","164.1","602.15","195.3",NA,"3827.8","1476.51"
"Peak_Mag_90","1008.9","151.2","1365.75","195.3",NA,"3827.8","1309.79"
"Peak_Mag_80","25.6","36.3","1279.8","106.3",NA,"3827.8","1055.16"
"Peak_Dur_95","28","1","62","7",NA,"14","22.4"
"Peak_Dur_90","62","12","111","20",NA,"21","45.2"
"Peak_Dur_80","126","61","190","35",NA,"27","87.8"
"Peak_Fre_95","4","1","6","3",NA,"1","3"
"Peak_Fre_90","5","3","4","3",NA,"1","3.2"
"Peak_Fre_80","5","7","4","4",NA,"1","4.2"
"Peak_Tim_95","197","216","119","181",NA,"225","187.6"
"Peak_Tim_90","212","190","202","181",NA,"225","202"
"Peak_Tim_80","248","138","214","126",NA,"225","190.2"
"Rec_Mag","4177.5","164.1","2455.4","738.7",NA,"3827.8","2272.7"
"Rec_Tim","182","216","96","188",NA,"229","182.2"
"Rec_Dur","48","22","247","25",NA,"29","74.2"
"Rec_ROC","0.285","0.373","0.137","0.396",NA,"0.312","0.301"
"Dry_Mag_90","3.94","0.39","10.94",NA,NA,"0","3.817"
"Dry_Mag_50","0","0","0",NA,NA,"0","0"
"Dry_Mag_10","0","0","0",NA,NA,"0","0"
"Dry_Tim","230","238","343","213",NA,"258","256.4"
"Dry_Dur","63","178","148",NA,NA,"109","124.5"
"Dry_NoFL_Days","49","158","94",NA,NA,"109","102.5"
"No_Peaks_Avg","1.25","1","1","1",NA,"2","1.25"
"No_Peaks_Max","1","1","1","1",NA,"2","1.2"
"Frac_V_Cent_Avg","0.325","1","0.448","0.867",NA,"0.357","0.599"
"Frac_V_Cent_Max","0.2","1","0.273","0.6",NA,"0.357","0.486"
