"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","1193.91","1665.219","6399.426","1010.313","700.537","1086.364","2008.717"
"SD_Ann","745.833","1158.062","7494.327","948.403","406.379","390.905","3712.713"
"CV_Ann","0.625","0.695","1.171","0.939","0.58","0.36","1.848"
"Q10_Mag","375.18","542","362.38","235.18","222.94","351.55","303.1"
"Q25_Mag","612.1","1063","607.6","291.2","358.5","934.35","495.775"
"Q50_Mag","1158.3","1438","5173.2","545.1","597.5","1175","1128.85"
"Q75_Mag","1454.2","1907.75","8404.6","1341.1","1015.7","1359.6","1512.9"
"Q90_Mag","1815.76","2848.5","13976.38","2714.26","1318.56","1444.3","3481.96"
"Q10_Tim","77","1","107","92","112","58","74"
"Q25_Tim","72","82","91","13","95","42","65"
"Q50_Tim","105","124","43","76","124","100","95"
"Q75_Tim","99","140","29","97","102","79","90"
"Q90_Tim","32","144","2","116",NA,NA,"73"
"Q10_Fre","2","1","3","6","4","3","3"
"Q25_Fre","4","3","6","2","6","2","3"
"Q50_Fre","7","5","4","6","3","6","5"
"Q75_Fre","5","10","3","4","1","4","4"
"Q90_Fre","1","2","2","1",NA,NA,"1"
"Q10_Dur","357","366","349","270","306","341","331"
"Q25_Dur","296","336","301","190","222","315","276"
"Q50_Dur","192","269","237","126","68","224","186"
"Q75_Dur","83","162","221","65","4","17","92"
"Q90_Dur","7","20","185","8",NA,NA,"55"
"Q10_Mag_Lng_Evt","5100.9","6320","31222.5","4517.2","1842.3","2093.7","8516"
"Q25_Mag_Lng_Evt","5100.9","6320","31222.5","4517.2","1842.3","2093.7","8516"
"Q50_Mag_Lng_Evt","2078.4","6320","31222.5","2911.2","1842.3","1516.4","7648"
"Q75_Mag_Lng_Evt","5100.9","6320","31222.5","2911.2","1842.3","2093.7","8248"
"Q90_Mag_Lng_Evt","5100.9","6320","31222.5","4517.2",NA,NA,"11790"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","141","20","1","40","57","106","60"
"Q75_Strt_Tim_Lng_Evt","13","26","1","41","102","33","36"
"Q90_Strt_Tim_Lng_Evt","32","71","1","116",NA,NA,"55"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","win","win","spr","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","win","spr","win","win"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","spr",NA,NA,"spr"
"Q10_Dur_Lng_Evt","252","366","196","181","172","278","240"
"Q25_Dur_Lng_Evt","221","239","195","178","144","275","208"
"Q50_Dur_Lng_Evt","75","124","193","54","50","88","97"
"Q75_Dur_Lng_Evt","38","63","192","25","4","9","55"
"Q90_Dur_Lng_Evt","7","15","184","8",NA,NA,"53"
"Init_Mag","2845.902","1270.176","2232.785","1299.605","882.066","667.593","1533.021"
"Init_Tim","18","-86","-29","-53","9","-30","-28.5"
"Init_Dur","18","23","34","20","10","10","19.167"
"Wet_BFL_Mag_10","752.02","1245.8","7379.28","756.94","462.06","896","1915.35"
"Wet_BFL_Mag_50","1347","2514","8382","1320.1","975.6","1258.9","2632.933"
"Wet_Tim","1","18","2","-6","-13","-40","-6.333"
"Wet_BFL_Dur","243","59","132","179","117","281","168.5"
"Peak_Mag_Ann","5100.9","6320","31222.5","4517.2","1842.3","2093.7","8516.1"
"Peak_Mag_Tim","35","76","133","119","103","35","83.5"
"Peak_Mag_95",NA,NA,"10288.4",NA,NA,NA,"10288.4"
"Peak_Mag_90","5100.9","5710","17679.2","4517.2",NA,NA,"8251.825"
"Peak_Mag_80","1936","2477.5","16971.8","3208.75","1842.3","2093.7","4755.008"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","7","20","185","8",NA,NA,"55"
"Peak_Dur_80","44","110","217","61","2","7","73.5"
"Peak_Fre_95",NA,NA,"3",NA,NA,NA,"3"
"Peak_Fre_90","1","2","2","1",NA,NA,"1.5"
"Peak_Fre_80","4","8","2","4","1","1","3.333"
"Peak_Tim_95",NA,NA,"77",NA,NA,NA,"77"
"Peak_Tim_90","32","216.5","95","116",NA,NA,"114.875"
"Peak_Tim_80","98.5","152.5","107","123.5","103","33","102.917"
"Rec_Mag","1458.1","6320","31222.5","3238.4","1842.3","1499.9","7596.867"
"Rec_Tim","243","76","133","172","103","240","161.167"
"Rec_Dur","13","218","145","41","191","45","108.833"
"Rec_ROC","0.13","0.057","0.041","0.106","0.06","0.059","0.076"
"Dry_Mag_90","1245.96","3179.2","841.8","413.83","363.58","1044.59","1181.493"
"Dry_Mag_50","578.2","1341","395","278.15","313.15","479.35","564.142"
"Dry_Mag_10","323.04","340.6","127.45","200.29","201.23","246.26","239.812"
"Dry_Tim","256","294","278","213","294","285","270"
"Dry_Dur","128","75","82","140","32","82","89.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.5",NA,NA,NA,"1.5"
"No_Peaks_Max",NA,NA,"2",NA,NA,NA,"2"
"Frac_V_Cent_Avg",NA,NA,"0.555",NA,NA,NA,"0.555"
"Frac_V_Cent_Max",NA,NA,"0.588",NA,NA,NA,"0.588"
