"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","4493.365","3593.085","3657.066","4138.288","4295.822","3454.132","3938.247"
"SD_Ann","2326.221","1861.918","2522.348","2268.218","2018.51","1361.131","2127.276"
"CV_Ann","0.518","0.518","0.69","0.548","0.47","0.394","0.54"
"Q10_Mag","1246.48","1108.5","709.6","1626","1157.58","1776.7","1321.96"
"Q25_Mag","2595.7","1915.5","2640","2648","3146.2","2696.525","2540.5"
"Q50_Mag","4404.1","3644.5","3484","3718","4497","3401.5","3761"
"Q75_Mag","6409.6","5231.75","4172","5016","5537.4","4108.025","5034.7"
"Q90_Mag","7824.94","6188.5","5662.8","7732","6772.86","4949.4","6583.98"
"Q10_Tim","8","40","8","30","6","11","17"
"Q25_Tim","53","120","26","81","20","139","73"
"Q50_Tim","113","160","123","156","105","167","137"
"Q75_Tim","155","160","107","196","147","245","168"
"Q90_Tim","171","144","117","234","159","315","190"
"Q10_Fre","2","4","3","3","4","2","3"
"Q25_Fre","4","6","5","7","2","10","5"
"Q50_Fre","5","4","12","10","3","15","8"
"Q75_Fre","8","6","9","11","10","9","8"
"Q90_Fre","8","4","6","4","3","2","4"
"Q10_Dur","328","324","310","348","322","358","331"
"Q25_Dur","286","239","286","284","288","294","279"
"Q50_Dur","234","172","152","191","256","152","192"
"Q75_Dur","141","113","62","95","139","26","96"
"Q90_Dur","87","15","25","47","49","7","38"
"Q10_Mag_Lng_Evt","9704.6","7086","17691","18633","9828.3","12453.8","12566"
"Q25_Mag_Lng_Evt","9155.6","7086","17691","18633","9828.3","5688.7","11347"
"Q50_Mag_Lng_Evt","9155.6","7086","17691","9778","9828.3","5688.7","9871"
"Q75_Mag_Lng_Evt","8252.6","6822","17691","9778","9828.3","12453.8","10804"
"Q90_Mag_Lng_Evt","8252.6","6807","17691","9778","9828.3","12453.8","10801"
"Q10_Strt_Tim_Lng_Evt","1","13","1","1","1","11","4"
"Q25_Strt_Tim_Lng_Evt","64","139","23","78","20","131","75"
"Q50_Strt_Tim_Lng_Evt","169","231","72","181","155","154","160"
"Q75_Strt_Tim_Lng_Evt","203","79","91","246","181","305","184"
"Q90_Strt_Tim_Lng_Evt","208","83","92","252","188","306","188"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","spr","win","spr","win","spr","spr"
"Q50_Strt_Sea_Lng_Evt","sum","sum","spr","sum","sum","sum","sum"
"Q75_Strt_Sea_Lng_Evt","sum","spr","spr","aut","sum","aut","aut"
"Q90_Strt_Sea_Lng_Evt","sum","spr","spr","aut","sum","aut","aut"
"Q10_Dur_Lng_Evt","321","297","303","318","317","356","318"
"Q25_Dur_Lng_Evt","230","166","274","234","286","121","218"
"Q50_Dur_Lng_Evt","117","58","47","128","144","54","91"
"Q75_Dur_Lng_Evt","41","45","16","47","57","7","35"
"Q90_Dur_Lng_Evt","28","5","10","40","36","5","20"
"Init_Mag","7252.6","1402.009","2626.715","3892.839","3658.286","1446","3379.742"
"Init_Tim","1","-15","-5","0","-11","-15","-7.5"
"Init_Dur","5","6","7","7","14","6","7.5"
"Wet_BFL_Mag_10","2813.89","1990.9","2379.5","2523.8","2754.05","2485.53","2491.278"
"Wet_BFL_Mag_50","4653.05","4485.5","4222","4185","4594.45","3627.75","4294.625"
"Wet_Tim","1","29","8","12","4","6","10"
"Wet_BFL_Dur","262","248","86","272","208","220","216"
"Peak_Mag_Ann","9704.6","7086","17691","18633","9828.3","12453.8","12566.117"
"Peak_Mag_Tim","13","255","93","156","202","306","170.833"
"Peak_Mag_95","8252.6",NA,"12219.5","9778","9216.1","10419.95","9977.23"
"Peak_Mag_90","7767.1","6814.5","10208.5","8342.5","7835.2","10419.95","8564.625"
"Peak_Mag_80","7767.1","6240","7791","6310","6216.4","6055.6","6730.017"
"Peak_Dur_95","41",NA,"18","32","16","6","22.6"
"Peak_Dur_90","87","15","25","47","49","7","38.333"
"Peak_Dur_80","131","85","48","74","101","16","75.833"
"Peak_Fre_95","5",NA,"4","3","3","2","3.4"
"Peak_Fre_90","8","4","6","4","3","2","4.5"
"Peak_Fre_80","8","8","9","10","9","6","8.333"
"Peak_Tim_95","216",NA,"84.5","254","197","322.5","214.8"
"Peak_Tim_90","127.5","100","84.5","147.5","89","322.5","145.167"
"Peak_Tim_80","125.5","186.5","91","161","78","234.5","146.083"
"Rec_Mag","9087.1","5631","17691","8657","9216.1","4966.1","9208.05"
"Rec_Tim","262","276","93","283","211","225","225"
"Rec_Dur","71","53","234","42","116","30","91"
"Rec_ROC","0.054","0.052","0.05","0.046","0.024","0.052","0.046"
"Dry_Mag_90","1780.1","2745","2132","2880.8","1488.9","5334.01","2726.802"
"Dry_Mag_50","927.7","1438","681","1587","926.1","2883.2","1407.167"
"Dry_Mag_10","625.78","738","32","919.6","463.78","1680.35","743.252"
"Dry_Tim","333","329","327","325","327","255","316"
"Dry_Dur","62","46","51","45","45","112","60.167"
"Dry_NoFL_Days","0","0","5","0","0","0","0.833"
"No_Peaks_Avg","1.286",NA,"1.25","1","1","1","1.107"
"No_Peaks_Max","1",NA,"2","1","1","1","1.2"
"Frac_V_Cent_Avg","0.66",NA,"0.667","0.519","0.69","0.8","0.667"
"Frac_V_Cent_Max","0.5",NA,"0.5","0.5","0.571","0.6","0.534"
