"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","248.235","241.71","2318.112","215.589","234.609","209.495","577.637"
"SD_Ann","121.11","162.146","6957.272","167.461","151.698","78.072","2943.376"
"CV_Ann","0.488","0.671","3.001","0.777","0.647","0.373","5.096"
"Q10_Mag","166.14","1","49","0","0.34","160.6","45.73"
"Q25_Mag","187.8","170","170","170","157.4","170.825","170"
"Q50_Mag","216.6","190.5","232.5","177.1","184.9","184.65","191.05"
"Q75_Mag","285.7","374","505.2","231.6","398.6","246.2","327.475"
"Q90_Mag","390.58","489.5","4993.12","474.96","412.82","319.6","466.69"
"Q10_Tim","1","26","7","22","24","1","13"
"Q25_Tim","26","142","9","100","87","143","84"
"Q50_Tim","109","154","34","161","100","115","112"
"Q75_Tim","72","127","16","118","99","202","105"
"Q90_Tim","46","99","84","129",NA,"319","135"
"Q10_Fre","1","1","1","2","1","1","1"
"Q25_Fre","2","5","1","3","5","7","3"
"Q50_Fre","9","8","6","11","5","10","8"
"Q75_Fre","6","4","2","3","1","2","3"
"Q90_Fre","4","4","4","4",NA,"1","3"
"Q10_Dur","355","317","328","309","300","366","329"
"Q25_Dur","330","280","324","296","254","313","299"
"Q50_Dur","261","190","197","146","170","173","189"
"Q75_Dur","62","99","171","53","142","35","93"
"Q90_Dur","26","53","100","39",NA,"7","45"
"Q10_Mag_Lng_Evt","695.2","657","43369.2","719.3","456.7","472.1","7728"
"Q25_Mag_Lng_Evt","695.2","271","43369.2","719.3","456.7","402.8","7652"
"Q50_Mag_Lng_Evt","695.2","657","43369.2","719.3","456.7","402.8","7716"
"Q75_Mag_Lng_Evt","585.1","657","43369.2","718.6","456.7","472.1","7709"
"Q90_Mag_Lng_Evt","585.1","579","43369.2","719.3",NA,"472.1","9144"
"Q10_Strt_Tim_Lng_Evt","1","26","7","22","24","1","13"
"Q25_Strt_Tim_Lng_Evt","1","163","9","24","67","24","48"
"Q50_Strt_Tim_Lng_Evt","111","67","10","109","93","45","72"
"Q75_Strt_Tim_Lng_Evt","1","67","14","140","99","316","106"
"Q90_Strt_Tim_Lng_Evt","1","100","75","122",NA,"319","123"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","sum","win","win","spr","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","win","spr"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","aut","spr"
"Q90_Strt_Sea_Lng_Evt","win","spr","spr","spr",NA,"aut","spr"
"Q10_Dur_Lng_Evt","355","317","328","308","300","366","329"
"Q25_Dur_Lng_Evt","303","116","324","157","198","149","207"
"Q50_Dur_Lng_Evt","171","67","175","72","153","115","125"
"Q75_Dur_Lng_Evt","34","67","169","28","142","20","76"
"Q90_Dur_Lng_Evt","19","33","65","12",NA,"7","27"
"Init_Mag","571.6","375.639","1544.647","127.945","188.817","5.112","468.96"
"Init_Tim","1","40","47","-32","38","-23","11.833"
"Init_Dur","16","23","19","3","30","6","16.167"
"Wet_BFL_Mag_10","173.46","109.6","1386.32","170","156.65","167.12","360.525"
"Wet_BFL_Mag_50","228.1","393","6400","176.2","385.5","254.3","1306.183"
"Wet_Tim","1","21","72","16","19","17","24.333"
"Wet_BFL_Dur","195","93","39","144","186","72","121.5"
"Peak_Mag_Ann","695.2","657","43369.2","719.3","456.7","472.1","7728.25"
"Peak_Mag_Tim","195","75","110","126","204","321","171.833"
"Peak_Mag_95","677.3","657","1749.4","718.6",NA,NA,"950.575"
"Peak_Mag_90","622.25","542.5","1272.1","699.85",NA,"472.1","721.76"
"Peak_Mag_80","585.1","480","1749.4","718.6","447.8","437.45","736.392"
"Peak_Dur_95","4","3","81","22",NA,NA,"27.5"
"Peak_Dur_90","26","53","100","39",NA,"7","45"
"Peak_Dur_80","41","88","141","50","128","15","77.167"
"Peak_Fre_95","2","1","3","3",NA,NA,"2.25"
"Peak_Fre_90","4","4","4","4",NA,"1","3.4"
"Peak_Fre_80","5","4","3","3","3","2","3.333"
"Peak_Tim_95","167.5","73","75","141",NA,NA,"114.125"
"Peak_Tim_90","146","96.5","111","131",NA,"319","160.7"
"Peak_Tim_80","151","186.5","59","121","161","186","144.083"
"Rec_Mag","695.2","579","43369.2","681.1","456.7","309.4","7681.767"
"Rec_Tim","195","113","110","159","204","88","144.833"
"Rec_Dur","173","242","223","182","132","262","202.333"
"Rec_ROC","0.038","0.033","0.059","0.06","0.03","0.015","0.039"
"Dry_Mag_90","0.3","1146.77","2.04","0","77.48","180.7","234.548"
"Dry_Mag_50","0","382.45","0","0","1.9","177.3","93.608"
"Dry_Mag_10","0","0.73","0","0","0.06","143","23.965"
"Dry_Tim","368","355","333","341","336","350","347.167"
"Dry_Dur","18","84","49","44","47","17","43.167"
"Dry_NoFL_Days","16","7","44","44","5","0","19.333"
"No_Peaks_Avg","1","1","1.25","1.333",NA,NA,"1.146"
"No_Peaks_Max","1","1","3","1",NA,NA,"1.5"
"Frac_V_Cent_Avg","0.833","0.667","0.665","0.542",NA,NA,"0.677"
"Frac_V_Cent_Max","0.667","0.667","0.383","0.556",NA,NA,"0.568"
