"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","157.857","53.277","1403.92","383.602","128.605","182.537","384.723"
"SD_Ann","78.393","67.739","1429.687","320.624","114.892","575.726","795.98"
"CV_Ann","0.497","1.271","1.018","0.836","0.893","3.154","2.069"
"Q10_Mag","7.5","1.05","158.02","159.38","0","0","0"
"Q25_Mag","139.3","2","415.7","198.9","0","0","3.075"
"Q50_Mag","164.6","6.15","872.2","231.2","148.4","0","172.65"
"Q75_Mag","199.2","99.675","1842.5","405.1","222.3","182.925","303.2"
"Q90_Mag","239.96","153.45","3972.18","715.12","278.18","230.8","876.9"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","70","27","1","9","263","61"
"Q50_Tim","125","55","56","3","19","271","88"
"Q75_Tim","262",NA,"58","1","159","271","150"
"Q90_Tim",NA,NA,"126","102",NA,"272","166"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","8","1","1","2","2","2"
"Q50_Fre","10","2","2","2","1","1","3"
"Q75_Fre","2",NA,"2","1","2","1","1"
"Q90_Fre",NA,NA,"4","1",NA,"1","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","247","339","365","236","100","275"
"Q50_Dur","179","30","328","302","180","96","185"
"Q75_Dur","12",NA,"322","167","14","36","110"
"Q90_Dur",NA,NA,"182","26",NA,"19","75"
"Q10_Mag_Lng_Evt","358.1","284.7","6574.7","1824.3","344.3","3568.3","2159"
"Q25_Mag_Lng_Evt","358.1","284.7","6574.7","1824.3","344.3","3568.3","2159"
"Q50_Mag_Lng_Evt","240.4","212.5","6574.7","1824.3","344.3","3568.3","2127"
"Q75_Mag_Lng_Evt","358.1",NA,"6574.7","1824.3","344.3","3568.3","2533"
"Q90_Mag_Lng_Evt",NA,NA,"6574.7","1824.3",NA,"3568.3","3989"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","27","1","1","270","50"
"Q50_Strt_Tim_Lng_Evt","1","25","58","1","19","271","62"
"Q75_Strt_Tim_Lng_Evt","276",NA,"59","1","153","271","152"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"134","102",NA,"272","169"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q75_Strt_Sea_Lng_Evt","aut",NA,"win","win","spr","aut","aut"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"spr","spr",NA,"aut","spr"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","184","339","365","230","97","263"
"Q50_Dur_Lng_Evt","70","20","308","300","180","96","162"
"Q75_Dur_Lng_Evt","10",NA,"307","167","8","36","105"
"Q90_Dur_Lng_Evt",NA,NA,"162","26",NA,"19","69"
"Init_Mag","186.2","197.526","1289.593","1786.867","230.274","3.818","615.713"
"Init_Tim","1","32","38","108","27","-55","25.167"
"Init_Dur","9","19","25","15","19","18","17.5"
"Wet_BFL_Mag_10","139.32","65.79","1482","391.22","206.4","0","380.788"
"Wet_BFL_Mag_50","178.65","104.45","1846.85","1028.7","221.2","307.7","614.592"
"Wet_Tim","1","17","150","95","14","265","90.333"
"Wet_BFL_Dur","282","102","56","15","165","13","105.5"
"Peak_Mag_Ann","358.1","284.7","6574.7","1824.3","344.3","3568.3","2159.067"
"Peak_Mag_Tim","282","118","198","109","153","276","189.333"
"Peak_Mag_95",NA,NA,"2191",NA,NA,"3568.3","2879.65"
"Peak_Mag_90",NA,NA,"1196.9","1824.3",NA,"3568.3","2196.5"
"Peak_Mag_80",NA,NA,"925","415.7",NA,"3568.3","1636.333"
"Peak_Dur_95",NA,NA,"96",NA,NA,"15","55.5"
"Peak_Dur_90",NA,NA,"182","26",NA,"19","75.667"
"Peak_Dur_80",NA,NA,"306","121",NA,"22","149.667"
"Peak_Fre_95",NA,NA,"3",NA,NA,"1","2"
"Peak_Fre_90",NA,NA,"4","1",NA,"1","2"
"Peak_Fre_80",NA,NA,"4","7",NA,"1","4"
"Peak_Tim_95",NA,NA,"178",NA,NA,"273","225.5"
"Peak_Tim_90",NA,NA,"89","102",NA,"272","154.333"
"Peak_Tim_80",NA,NA,"182","42",NA,"272","165.333"
"Rec_Mag","358.1","284.7","5065.7","1824.3","297.9","3211.6","1840.383"
"Rec_Tim","282","118","205","109","178","277","194.833"
"Rec_Dur","55","146","104","195","60","38","99.667"
"Rec_ROC","0.096","0.11","0.016","0.019","0.113","0.039","0.066"
"Dry_Mag_90","7.6","887","420.58","168.2","0.4","228.53","285.385"
"Dry_Mag_50","7.25","6.9","399.85","146.8","0","214.4","129.2"
"Dry_Mag_10","4.7","0.2","373.66","130.15","0","196.87","117.597"
"Dry_Tim","337","264","309","304","238","315","294.5"
"Dry_Dur","46","253","152","76","393","52","162"
"Dry_NoFL_Days","0","0","0","0","340","0","56.667"
"No_Peaks_Avg",NA,NA,"3.75",NA,NA,"1","2.375"
"No_Peaks_Max",NA,NA,"10",NA,NA,"1","5.5"
"Frac_V_Cent_Avg",NA,NA,"0.62",NA,NA,"0.467","0.543"
"Frac_V_Cent_Max",NA,NA,"0.378",NA,NA,"0.467","0.422"
