"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","157.857","53.277","1208.819","376.101","128.605","182.537","350.987"
"SD_Ann","78.393","67.739","1475.686","317.356","114.892","575.726","770.976"
"CV_Ann","0.497","1.271","1.221","0.844","0.893","3.154","2.197"
"Q10_Mag","7.5","1.05","158.02","159.38","0","0","0"
"Q25_Mag","139.3","2","200.3","198.9","0","0","3.075"
"Q50_Mag","164.6","6.15","836.8","231.2","148.4","0","172.65"
"Q75_Mag","199.2","99.675","1305.9","403.3","222.3","182.925","251.675"
"Q90_Mag","239.96","153.45","3972.18","707.16","278.18","230.8","850.65"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","70","27","1","9","263","61"
"Q50_Tim","125","55","56","3","19","271","88"
"Q75_Tim","249","116","57","1","147","271","140"
"Q90_Tim",NA,NA,"150","102",NA,"272","174"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","8","1","1","2","2","2"
"Q50_Fre","10","2","2","2","1","1","3"
"Q75_Fre","4","1","2","1","3","1","2"
"Q90_Fre",NA,NA,"6","1",NA,"1","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","247","339","365","236","100","275"
"Q50_Dur","179","30","328","302","180","96","185"
"Q75_Dur","31","5","261","175","41","36","91"
"Q90_Dur",NA,NA,"180","27",NA,"19","75"
"Q10_Mag_Lng_Evt","358.1","284.7","6574.7","1824.3","344.3","3568.3","2159"
"Q25_Mag_Lng_Evt","358.1","284.7","6574.7","1824.3","344.3","3568.3","2159"
"Q50_Mag_Lng_Evt","240.4","212.5","6574.7","1824.3","344.3","3568.3","2127"
"Q75_Mag_Lng_Evt","358.1","284.7","6574.7","1824.3","344.3","3568.3","2159"
"Q90_Mag_Lng_Evt",NA,NA,"6574.7","1824.3",NA,"3568.3","3989"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","27","1","1","270","50"
"Q50_Strt_Tim_Lng_Evt","1","25","58","1","19","271","62"
"Q75_Strt_Tim_Lng_Evt","271","116","59","1","152","271","145"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"193","102",NA,"272","189"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q75_Strt_Sea_Lng_Evt","aut","spr","win","win","spr","aut","aut"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"sum","spr",NA,"aut","aut"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","184","339","365","230","97","263"
"Q50_Dur_Lng_Evt","70","20","308","300","180","96","162"
"Q75_Dur_Lng_Evt","15","5","246","175","39","36","86"
"Q90_Dur_Lng_Evt",NA,NA,"103","27",NA,"19","49"
"Init_Mag","186.2","197.526","1289.593","1786.867","230.274","3.818","615.713"
"Init_Tim","1","32","38","108","27","-55","25.167"
"Init_Dur","9","19","25","15","19","18","17.5"
"Wet_BFL_Mag_10","139.32","65.79","350.08","391.22","206.4","0","192.135"
"Wet_BFL_Mag_50","178.65","104.45","4975.3","1028.7","221.2","307.7","1136"
"Wet_Tim","1","17","187","95","14","265","96.5"
"Wet_BFL_Dur","282","102","27","15","165","13","100.667"
"Peak_Mag_Ann","358.1","284.7","6574.7","1824.3","344.3","3568.3","2159.067"
"Peak_Mag_Tim","282","118","198","109","153","276","189.333"
"Peak_Mag_95",NA,NA,"4204.05","1824.3",NA,"3568.3","3198.883"
"Peak_Mag_90",NA,NA,"1210.2","1824.3",NA,"3568.3","2200.933"
"Peak_Mag_80","355.8",NA,"1627.6","1287.65","330.15","3568.3","1433.9"
"Peak_Dur_95",NA,NA,"88","9",NA,"16","37.667"
"Peak_Dur_90",NA,NA,"180","27",NA,"19","75.333"
"Peak_Dur_80","11",NA,"226","161","9","35","88.4"
"Peak_Fre_95",NA,NA,"2","1",NA,"1","1.333"
"Peak_Fre_90",NA,NA,"6","1",NA,"1","2.667"
"Peak_Fre_80","2",NA,"4","2","2","1","2.2"
"Peak_Tim_95",NA,NA,"185","104",NA,"273","187.333"
"Peak_Tim_90",NA,NA,"96","102",NA,"272","156.667"
"Peak_Tim_80","232.5",NA,"118","76","160.5","272","171.8"
"Rec_Mag","358.1","284.7","4982.5","1824.3","297.9","3211.6","1826.517"
"Rec_Tim","282","118","213","109","178","277","196.167"
"Rec_Dur","55","146","98","229","60","38","104.333"
"Rec_ROC","0.096","0.11","0.016","0.018","0.113","0.039","0.065"
"Dry_Mag_90","7.6","885.95","408.79","148.4","0.4","228.53","279.945"
"Dry_Mag_50","7.25","213.05","379.3","138.6","0","214.4","158.767"
"Dry_Mag_10","4.7","0.2","199.79","128.06","0","196.87","88.27"
"Dry_Tim","337","264","311","338","238","315","300.5"
"Dry_Dur","46","290","150","42","393","52","162.167"
"Dry_NoFL_Days","0","0","0","0","340","0","56.667"
"No_Peaks_Avg",NA,NA,"4.667","2",NA,"1","2.556"
"No_Peaks_Max",NA,NA,"10","2",NA,"1","4.333"
"Frac_V_Cent_Avg",NA,NA,"0.627","0.556",NA,"0.5","0.561"
"Frac_V_Cent_Max",NA,NA,"0.382","0.556",NA,"0.5","0.479"
