"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","2951.339","3224.038","11097.491","2951.339","1629.573","1521.482","3894.488"
"SD_Ann","1828.663","2146.795","14333.745","1828.663","1085.618","811.225","6864.954"
"CV_Ann","0.62","0.666","1.292","0.62","0.666","0.533","1.763"
"Q10_Mag","693.54","896","1476.86","693.54","470.8","488.8","645.18"
"Q25_Mag","1503.8","1829.5","2530.7","1503.8","682.5","976.2","1240.925"
"Q50_Mag","2712.8","2964","4903","2712.8","1282.9","1384.15","2410.65"
"Q75_Mag","4272.3","3953","12491.8","4272.3","2598.4","2035.425","3908.4"
"Q90_Mag","5100.98","5091.5","32247.06","5100.98","3214","2790.85","6654.87"
"Q10_Tim","37","56","1","37","99","70","50"
"Q25_Tim","66","120","107","66","115","138","102"
"Q50_Tim","115","113","83","115","96","145","111"
"Q75_Tim","112","149","41","112","89","210","118"
"Q90_Tim","64","210","9","64",NA,NA,"86"
"Q10_Fre","4","3","1","4","6","5","3"
"Q25_Fre","3","4","4","3","8","11","5"
"Q50_Fre","7","7","7","7","9","6","7"
"Q75_Fre","7","12","5","7","1","1","5"
"Q90_Fre","3","2","3","3",NA,NA,"2"
"Q10_Dur","336","347","365","336","292","315","331"
"Q25_Dur","306","311","341","306","190","219","278"
"Q50_Dur","216","238","283","216","105","67","187"
"Q75_Dur","119","105","219","119","9","1","95"
"Q90_Dur","15","26","164","15",NA,NA,"55"
"Q10_Mag_Lng_Evt","9145.1","10526","62331","9145.1","4468","3958.1","16595"
"Q25_Mag_Lng_Evt","7380.2","5900","62331","7380.2","4468","3572.5","15171"
"Q50_Mag_Lng_Evt","7380.2","5900","62331","7380.2","4468","3572.5","15171"
"Q75_Mag_Lng_Evt","5835.5","10526","62331","5835.5","4468","3958.1","15492"
"Q90_Mag_Lng_Evt","8792.8","10526","62331","8792.8",NA,NA,"22610"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","42","1","7"
"Q25_Strt_Tim_Lng_Evt","51","98","1","51","43","101","57"
"Q50_Strt_Tim_Lng_Evt","104","103","1","104","53","125","81"
"Q75_Strt_Tim_Lng_Evt","125","64","1","125","89","210","102"
"Q90_Strt_Tim_Lng_Evt","6","65","1","6",NA,NA,"19"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","win","spr","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","win","spr","spr"
"Q75_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","sum","spr"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","299","285","365","299","193","242","280"
"Q25_Dur_Lng_Evt","236","140","191","236","106","80","164"
"Q50_Dur_Lng_Evt","103","124","190","103","63","42","104"
"Q75_Dur_Lng_Evt","44","15","180","44","9","1","48"
"Q90_Dur_Lng_Evt","6","13","156","6",NA,NA,"45"
"Init_Mag","7825.508","3639.426","13883.761","2821.448","1588.01","1315.397","5178.925"
"Init_Tim","9","0","20","-62","-14","-18","-10.833"
"Init_Dur","8","8","7","9","20","12","10.667"
"Wet_BFL_Mag_10","1607.76","2064.2","11869.92","1442.44","686.52","905.99","3096.138"
"Wet_BFL_Mag_50","3275.3","3449","41849.35","3036.3","2016","1535.7","9193.608"
"Wet_Tim","1","-8","67","-47","-33","-28","-8"
"Wet_BFL_Dur","265","227","42","313","265","264","229.333"
"Peak_Mag_Ann","9145.1","10648","62331","9145.1","4468","3958.1","16615.883"
"Peak_Mag_Tim","27","366","108","27","95","210","138.833"
"Peak_Mag_95",NA,NA,"16655.9",NA,NA,NA,"16655.9"
"Peak_Mag_90","8792.8","10587","8313.8","8792.8",NA,NA,"9121.6"
"Peak_Mag_80","5619.2","4908","4917.9","5619.2","4468",NA,"5106.46"
"Peak_Dur_95",NA,NA,"113",NA,NA,NA,"113"
"Peak_Dur_90","15","26","164","15",NA,NA,"55"
"Peak_Dur_80","93","66","205","93","2",NA,"91.8"
"Peak_Fre_95",NA,NA,"3",NA,NA,NA,"3"
"Peak_Fre_90","3","2","3","3",NA,NA,"2.75"
"Peak_Fre_80","7","10","5","7","1",NA,"6"
"Peak_Tim_95",NA,NA,"32",NA,NA,NA,"32"
"Peak_Tim_90","25","209.5","165","25",NA,NA,"106.125"
"Peak_Tim_80","137","125.5","213","137","95",NA,"141.5"
"Rec_Mag","3318.2","5900","62331","3318.2","3648.2","3029.4","13590.833"
"Rec_Tim","265","218","108","265","231","235","220.333"
"Rec_Dur","38","73","183","38","64","41","72.833"
"Rec_ROC","0.071","0.085","0.072","0.071","0.132","0.11","0.09"
"Dry_Mag_90","1558.76","14192.78","2834.8","721.79","1002.34","1629.5","3656.662"
"Dry_Mag_50","673.6","8718.5","1850.05","493.4","704.7","1009.9","2241.692"
"Dry_Mag_10","333.84","671.8","752.47","302.9","301.2","327.1","448.218"
"Dry_Tim","303","291","291","303","295","276","293.167"
"Dry_Dur","55","143","28","30","43","91","65"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.2",NA,NA,NA,"1.2"
"No_Peaks_Max",NA,NA,"3",NA,NA,NA,"3"
"Frac_V_Cent_Avg",NA,NA,"0.557",NA,NA,NA,"0.557"
"Frac_V_Cent_Max",NA,NA,"0.367",NA,NA,NA,"0.367"
