"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","7767.888","6513.729","11287.962","7479.413","7359.82","7926.208","8055.074"
"SD_Ann","2975.38","1917.976","8065.105","2817.551","2677.036","2736.144","4351.647"
"CV_Ann","0.383","0.294","0.714","0.377","0.364","0.345","0.54"
"Q10_Mag","4834.28","4437.7","3676.98","5022.06","4324.62","5177","4451.32"
"Q25_Mag","5982.8","5328.15","4697","5632.3","5321.7","6502.75","5512.475"
"Q50_Mag","7172","5951.45","7551.1","6719.8","6779.6","7130","6819"
"Q75_Mag","8518.3","7465","19785.6","8491.5","9393.9","8789","9014.075"
"Q90_Mag","11879.76","9605.85","24176.32","10985.54","10827.98","12516","12788.1"
"Q10_Tim","81","76","26","70","50","70","62"
"Q25_Tim","125","77","20","142","91","60","85"
"Q50_Tim","131","112","14","118","85","163","103"
"Q75_Tim","61","79","11","92","90","158","81"
"Q90_Tim","21",NA,"32","152","105","100","81"
"Q10_Fre","4","5","3","3","3","3","3"
"Q25_Fre","6","7","2","6","5","3","4"
"Q50_Fre","7","6","2","7","3","8","5"
"Q75_Fre","4","4","1","4","2","5","3"
"Q90_Fre","1",NA,"1","1","1","3","1"
"Q10_Dur","339","332","300","344","325","341","330"
"Q25_Dur","303","265","220","286","262","321","276"
"Q50_Dur","202","116","206","181","185","220","185"
"Q75_Dur","78","55","149","78","100","89","91"
"Q90_Dur","26",NA,"123","21","16","34","44"
"Q10_Mag_Lng_Evt","12591","12050.3","27202.8","19259.1","15272.8","15374","16958"
"Q25_Mag_Lng_Evt","12591","12050.3","27202.8","19259.1","15272.8","15374","16958"
"Q50_Mag_Lng_Evt","12591","12050.3","27202.8","19259.1","15272.8","14447","16803"
"Q75_Mag_Lng_Evt","16947.9","11300.6","27202.8","19259.1","15272.8","15374","17559"
"Q90_Mag_Lng_Evt","16947.9",NA,"27202.8","19259.1","15272.8","15374","18811"
"Q10_Strt_Tim_Lng_Evt","91","1","1","89","47","1","38"
"Q25_Strt_Tim_Lng_Evt","93","38","1","91","84","1","51"
"Q50_Strt_Tim_Lng_Evt","94","102","1","120","89","313","119"
"Q75_Strt_Tim_Lng_Evt","7","51","11","141","101","87","66"
"Q90_Strt_Tim_Lng_Evt","21",NA,"32","152","105","93","80"
"Q10_Strt_Sea_Lng_Evt","spr","win","win","spr","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","spr","spr","win","spr"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","spr","aut","spr"
"Q75_Strt_Sea_Lng_Evt","win","win","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","spr","spr","spr","spr"
"Q10_Dur_Lng_Evt","257","250","275","261","286","263","265"
"Q25_Dur_Lng_Evt","163","207","206","104","201","260","190"
"Q50_Dur_Lng_Evt","78","42","197","68","158","54","99"
"Q75_Dur_Lng_Evt","45","26","149","39","88","33","63"
"Q90_Dur_Lng_Evt","26",NA,"123","21","16","17","40"
"Init_Mag","16732.309","7461.852","20953.34","7736.314","9840.027","13922.747","12774.432"
"Init_Tim","32","-64","54","-60","10","24","-0.667"
"Init_Dur","32","23","28","21","17","20","23.5"
"Wet_BFL_Mag_10","4361.29","4922.87","9056.64","3548.74","4382.31","6026.8","5383.108"
"Wet_BFL_Mag_50","8298.3","6792.2","19872","7078.2","8799.6","7987","9804.55"
"Wet_Tim","1","-102","-1","-80","-5","6","-30.167"
"Wet_BFL_Dur","152","234","119","247","184","95","171.833"
"Peak_Mag_Ann","16947.9","12050.3","27202.8","19259.1","15272.8","15374","17684.483"
"Peak_Mag_Tim","29","113","117","166","113","100","106.333"
"Peak_Mag_95",NA,NA,"24099.1","19259.1",NA,NA,"21679.1"
"Peak_Mag_90","16947.9",NA,"27202.8","19259.1","15272.8","14447","18625.92"
"Peak_Mag_80","12591","11675.45","27202.8","11364.7","10970.3","14022","14637.708"
"Peak_Dur_95",NA,NA,"105","5",NA,NA,"55"
"Peak_Dur_90","26",NA,"123","21","16","34","44"
"Peak_Dur_80","64","34","142","63","67","77","74.5"
"Peak_Fre_95",NA,NA,"2","1",NA,NA,"1.5"
"Peak_Fre_90","1",NA,"1","1","1","3","1.4"
"Peak_Fre_80","3","2","1","3","4","5","3"
"Peak_Tim_95",NA,NA,"55","164",NA,NA,"109.5"
"Peak_Tim_90","21",NA,"32","152","105","93","80.6"
"Peak_Tim_80","118","81","17","57","126.5","314","118.917"
"Rec_Mag","12030.8","9635.7","27202.8","19259.1","11946.7","15374","15908.183"
"Rec_Tim","152","131","117","166","178","100","140.667"
"Rec_Dur","109","159","168","190","164","170","160"
"Rec_ROC","0.023","0.015","0.016","0.02","0.015","0.018","0.018"
"Dry_Mag_90","4933.16","6747.15","2194.3","4074.06","5693.1","11276.6","5819.728"
"Dry_Mag_50","4831","4991.05","2194.3","3825.8","4336.05","7288","4577.7"
"Dry_Mag_10","4652.52","3926.25","2194.3","3699.32","3969.56","3941","3730.492"
"Dry_Tim","261","290","285","356","342","270","300.667"
"Dry_Dur","3","76","1","5","30","97","35.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.333","1",NA,NA,"1.167"
"No_Peaks_Max",NA,NA,"1","1",NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.534","0.6",NA,NA,"0.567"
"Frac_V_Cent_Max",NA,NA,"0.491","0.6",NA,NA,"0.545"
