"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","315.544","214.467","743.971","253.596","226.014","138.859","315.282"
"SD_Ann","330.924","433.136","2493.291","338.335","219.853","438.08","1086.606"
"CV_Ann","1.049","2.02","3.351","1.334","0.973","3.155","3.446"
"Q10_Mag","25.8","0","56.48","8.38","0","0","0"
"Q25_Mag","48.2","34.95","115.3","31.1","0","0","27.875"
"Q50_Mag","182.6","94.45","320.7","132.4","197.8","20.7","123.5"
"Q75_Mag","542.1","211.45","652","360.7","434.4","129.925","400.025"
"Q90_Mag","781.32","458.75","995.52","672.46","543.6","324.45","684.42"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","116","131","1","32","102","220","100"
"Q50_Tim","144","122","96","93","94","238","131"
"Q75_Tim","163","159","110","138","85","250","150"
"Q90_Tim","162","162","143","151",NA,"257","174"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","7","7","1","7","6","8","6"
"Q50_Fre","6","13","8","5","4","8","7"
"Q75_Fre","7","6","8","6","5","6","6"
"Q90_Fre","7","5","8","6",NA,"2","5"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","323","293","365","284","221","177","277"
"Q50_Dur","209","150","278","189","205","98","188"
"Q75_Dur","125","43","161","90","116","37","95"
"Q90_Dur","60","24","88","36",NA,"21","45"
"Q10_Mag_Lng_Evt","2441.1","4757.8","34236","3107.4","636.7","6105.1","8547"
"Q25_Mag_Lng_Evt","1245.1","4757.8","34236","3107.4","595.7","6105.1","8341"
"Q50_Mag_Lng_Evt","1245.1","2180.8","34236","3107.4","595.7","6105.1","7911"
"Q75_Mag_Lng_Evt","1245.1","3163.7","1262.9","1339.4","595.7","6105.1","2285"
"Q90_Mag_Lng_Evt","1245.1","3163.7","1262.9","1339.4",NA,"1125.1","1627"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","52","1","1","1","16","227","49"
"Q50_Strt_Tim_Lng_Evt","125","170","1","63","17","227","100"
"Q75_Strt_Tim_Lng_Evt","141","57","178","172","17","228","132"
"Q90_Strt_Tim_Lng_Evt","154","57","178","175",NA,"283","169"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","win","spr","win","sum","spr"
"Q75_Strt_Sea_Lng_Evt","spr","win","sum","sum","win","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","sum","sum",NA,"aut","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","209","112","365","257","100","107","191"
"Q50_Dur_Lng_Evt","122","57","149","101","99","46","95"
"Q75_Dur_Lng_Evt","80","10","61","44","53","13","43"
"Q90_Dur_Lng_Evt","47","7","41","24",NA,"11","26"
"Init_Mag","306.919","594.705","1273.182","178.686","63.783","196.454","435.622"
"Init_Tim","64","-8","-4","-57","-58","-42","-17.5"
"Init_Dur","13","9","8","10","12","5","9.5"
"Wet_BFL_Mag_10","121.9","33.16","216.66","66.43","17","11.06","77.702"
"Wet_BFL_Mag_50","512","136.5","589.4","232.25","407.6","13.55","315.217"
"Wet_Tim","73","-16","52","-7","10","221","55.5"
"Wet_BFL_Dur","115","209","28","194","211","10","127.833"
"Peak_Mag_Ann","2441.1","4757.8","34236","3107.4","636.7","6105.1","8547.35"
"Peak_Mag_Tim","281","27","79","107","220","230","157.333"
"Peak_Mag_95","1098.3","2180.8","1977.9","1339.4",NA,"3615.1","2042.3"
"Peak_Mag_90","892.4","2180.8","1977.9","970.2",NA,"3615.1","1927.28"
"Peak_Mag_80","701","2045","788.6","970.2","610","568.2","947.167"
"Peak_Dur_95","20","15","56","24",NA,"9","24.8"
"Peak_Dur_90","60","24","88","36",NA,"21","45.8"
"Peak_Dur_80","110","35","136","61","80","32","75.667"
"Peak_Fre_95","5","5","8","3",NA,"2","4.6"
"Peak_Fre_90","7","5","8","6",NA,"2","5.6"
"Peak_Fre_80","7","7","9","6","4","7","6.667"
"Peak_Tim_95","182","130","148.5","106",NA,"258","164.9"
"Peak_Tim_90","207","130","95.5","115",NA,"255.5","160.6"
"Peak_Tim_80","228","191","57","114.5","142","246","163.083"
"Rec_Mag","1245.1","2180.8","34236","1339.4","636.7","6105.1","7623.85"
"Rec_Tim","187","192","79","186","220","230","182.333"
"Rec_Dur","138","47","218","83","24","106","102.667"
"Rec_ROC","0.07","0.235","0.106","0.149","0.796","0.186","0.257"
"Dry_Mag_90","59.22","509.84","144.27","41.98","127.58","187.8","178.448"
"Dry_Mag_50","48.5","88.85","90.8","17.9","0","53.2","49.875"
"Dry_Mag_10","46.28","0","35.78","0","0","0","13.677"
"Dry_Tim","325","239","297","269","244","336","285"
"Dry_Dur","25","180","62","107","343","31","124.667"
"Dry_NoFL_Days","0","54","0","27","233","6","53.333"
"No_Peaks_Avg","1.6","1","1.308","1.25",NA,"1","1.232"
"No_Peaks_Max","1","1","3","1",NA,"1","1.4"
"Frac_V_Cent_Avg","0.778","0.7","0.678","0.741",NA,"0.75","0.729"
"Frac_V_Cent_Max","1","1","0.545","0.667",NA,"0.75","0.792"
