"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","233.468","210.718","711.098","241.39","145.552","129.516","278.525"
"SD_Ann","252.166","432.113","2495.587","316.084","188.402","373.561","1077.614"
"CV_Ann","1.08","2.051","3.509","1.309","1.294","2.884","3.869"
"Q10_Mag","25.3","0","56.48","8.38","0","0","0"
"Q25_Mag","47.4","34.95","114.1","31.1","0","0","24.875"
"Q50_Mag","146.3","94.45","300","132.4","51.6","20.7","108.3"
"Q75_Mag","368.4","211.275","540.4","357","221.4","129.925","317.325"
"Q90_Mag","567.04","393","995.52","590.12","537.66","320.8","567.09"
"Q10_Tim","1","1","1","1","34","1","6"
"Q25_Tim","48","113","1","47","118","219","90"
"Q50_Tim","151","125","105","91","120","232","137"
"Q75_Tim","165","152","106","137","33","250","140"
"Q90_Tim","205","152","118","149","18","254","149"
"Q10_Fre","1","1","1","1","3","1","1"
"Q25_Fre","4","5","1","6","10","8","5"
"Q50_Fre","6","14","9","6","7","5","7"
"Q75_Fre","7","6","8","7","5","5","6"
"Q90_Fre","6","5","9","5","1","3","4"
"Q10_Dur","365","366","365","365","266","366","348"
"Q25_Dur","341","302","365","299","200","177","280"
"Q50_Dur","209","169","292","192","165","116","190"
"Q75_Dur","121","65","178","107","61","43","95"
"Q90_Dur","41","27","88","51","16","24","41"
"Q10_Mag_Lng_Evt","2441.1","4757.8","34236","3107.4","595.7","5165.1","8383"
"Q25_Mag_Lng_Evt","2441.1","4757.8","34236","3107.4","595.7","5165.1","8383"
"Q50_Mag_Lng_Evt","949.1","2180.8","34236","3107.4","595.7","5165.1","7705"
"Q75_Mag_Lng_Evt","949.1","3163.7","1262.9","1227.9","595.7","568.2","1294"
"Q90_Mag_Lng_Evt","949.1","3163.7","34236","1227.9","595.7","5165.1","7556"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","51","1","1","1","16","227","49"
"Q50_Strt_Tim_Lng_Evt","128","170","1","62","17","227","100"
"Q75_Strt_Tim_Lng_Evt","141","57","178","172","17","246","135"
"Q90_Strt_Tim_Lng_Evt","181","57","57","176","18","228","119"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","win","win","win","sum","win"
"Q75_Strt_Sea_Lng_Evt","spr","win","sum","sum","win","aut","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","sum","win","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","239","366","344"
"Q25_Dur_Lng_Evt","315","156","365","257","84","107","214"
"Q50_Dur_Lng_Evt","118","57","150","102","69","69","94"
"Q75_Dur_Lng_Evt","79","16","56","48","52","15","44"
"Q90_Dur_Lng_Evt","15","8","38","38","16","12","21"
"Init_Mag","306.919","594.705","1273.182","178.686","63.783","196.454","435.622"
"Init_Tim","64","-8","-4","-57","-58","-42","-17.5"
"Init_Dur","13","9","8","10","12","5","9.5"
"Wet_BFL_Mag_10","43.97","33.16","216.66","67.58","185.8","85.39","105.427"
"Wet_BFL_Mag_50","261.65","136.5","589.4","237.9","538.4","267.35","338.533"
"Wet_Tim","74","-16","52","-7","10","221","55.667"
"Wet_BFL_Dur","208","209","28","205","72","68","131.667"
"Peak_Mag_Ann","2441.1","4757.8","34236","3107.4","595.7","5165.1","8383.85"
"Peak_Mag_Tim","281","27","79","107","18","230","123.667"
"Peak_Mag_95","932.35","2180.8","1977.9","1156.25",NA,"3145.1","1878.48"
"Peak_Mag_90","858.25","2180.8","972","1084.6","595.7","1125.1","1136.075"
"Peak_Mag_80","708.2","2045","972","855.8","431.3","540.4","925.45"
"Peak_Dur_95","10","18","55","27",NA,"9","23.8"
"Peak_Dur_90","41","27","88","51","16","24","41.167"
"Peak_Dur_80","91","40","151","92","54","33","76.833"
"Peak_Fre_95","4","5","8","4",NA,"2","4.6"
"Peak_Fre_90","6","5","9","5","1","3","4.833"
"Peak_Fre_80","7","7","9","7","3","7","6.667"
"Peak_Tim_95","233.5","130","147.5","115",NA,"258","176.8"
"Peak_Tim_90","210.5","130","117","106","18","246","137.917"
"Peak_Tim_80","214","188","117","122","81","246","161.333"
"Rec_Mag","2441.1","2180.8","34236","885.6","407.5","1125.1","6879.35"
"Rec_Tim","281","192","79","197","81","288","186.333"
"Rec_Dur","44","47","218","73","163","48","98.833"
"Rec_ROC","0.053","0.31","0.114","0.173","0.286","0.107","0.174"
"Dry_Mag_90","59.22","509.84","144.27","42.3","127.58","187.8","178.502"
"Dry_Mag_50","48.5","88.85","90.8","17.95","0","53.2","49.883"
"Dry_Mag_10","46.28","0","35.78","0","0","0","13.677"
"Dry_Tim","325","239","297","270","244","336","285.167"
"Dry_Dur","25","180","62","106","343","31","124.5"
"Dry_NoFL_Days","0","54","0","26","233","6","53.167"
"No_Peaks_Avg","1","1","1.556","1.167",NA,"1","1.145"
"No_Peaks_Max","1","1","4","1",NA,"1","1.6"
"Frac_V_Cent_Avg","0.75","0.519","0.611","0.767",NA,"0.75","0.679"
"Frac_V_Cent_Max","1","0.667","0.333","0.5",NA,"0.5","0.6"
