"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","327.367","172.183","559.744","592.227","219.589","96.013","327.677"
"SD_Ann","513.071","406.616","817.213","770.947","254.159","301.224","585.149"
"CV_Ann","1.567","2.362","1.46","1.302","1.157","3.137","1.786"
"Q10_Mag","12.6","0","18.08","0","0","0","0"
"Q25_Mag","12.7","3.65","30.5","22.9","3.5","0","11.175"
"Q50_Mag","24.4","18","132.2","235.2","142.3","11.15","42.6"
"Q75_Mag","670","75.15","978.2","870.6","353.2","58.825","389.15"
"Q90_Mag","1132.26","577.25","1841.3","2038.5","632.9","287.2","1106.84"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","149","27","32","134","217","93"
"Q50_Tim","155","188","147","107","136","216","158"
"Q75_Tim","147","194","134","150","217","192","172"
"Q90_Tim","188","177","136","149",NA,"229","175"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","9","2","2","2","8","4"
"Q50_Fre","5","7","7","6","2","11","6"
"Q75_Fre","4","6","4","6","3","5","4"
"Q90_Fre","4","4","4","5",NA,"1","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","224","361","293","231","192","277"
"Q50_Dur","148","134","263","232","227","116","186"
"Q75_Dur","106","51","119","171","89","21","92"
"Q90_Dur","45","24","88","71",NA,"6","46"
"Q10_Mag_Lng_Evt","3456.2","3435.9","3588.8","3644.8","871.6","3367","3060"
"Q25_Mag_Lng_Evt","3456.2","1372.9","3588.8","3644.8","871.6","3367","2716"
"Q50_Mag_Lng_Evt","2692.2","429.7","2116.3","3644.8","871.6","461.8","1702"
"Q75_Mag_Lng_Evt","2692.2","1248.2","2116.3","2536.6","634.6","461.8","1614"
"Q90_Mag_Lng_Evt","2692.2","1372.9","2116.3","2536.6",NA,"3367","2417"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","167","29","1","68","189","75"
"Q50_Strt_Tim_Lng_Evt","145","289","166","88","70","116","145"
"Q75_Strt_Tim_Lng_Evt","154","169","188","156","315","131","185"
"Q90_Strt_Tim_Lng_Evt","206","203","193","169",NA,"229","200"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","sum","win","win","spr","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","aut","sum","spr","spr","spr","spr"
"Q75_Strt_Sea_Lng_Evt","sum","sum","sum","sum","aut","spr","sum"
"Q90_Strt_Sea_Lng_Evt","sum","sum","sum","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","78","337","262","162","50","209"
"Q50_Dur_Lng_Evt","86","40","107","159","159","25","96"
"Q75_Dur_Lng_Evt","76","19","63","86","37","9","48"
"Q90_Dur_Lng_Evt","22","13","47","55",NA,"6","28"
"Init_Mag","99.632","44.442","63.322","157.268","775.659","417.55","259.646"
"Init_Tim","62","-54","-73","-26","109","135","25.5"
"Init_Dur","6","9","13","10","27","38","17.167"
"Wet_BFL_Mag_10","11.7","0","30.5","333.06","132.28","0","84.59"
"Wet_BFL_Mag_50","720.7","14.1","469.8","763.6","283.2","11.3","377.117"
"Wet_Tim","85","44","51","83","83","-69","46.167"
"Wet_BFL_Dur","130","169","177","119","119","300","169"
"Peak_Mag_Ann","3456.2","3435.9","3588.8","3644.8","871.6","3367","3060.717"
"Peak_Mag_Tim","281","57","67","106","201","230","157"
"Peak_Mag_95","2692.2","3073.95","2064.4","2680.7",NA,"3367","2775.65"
"Peak_Mag_90","2087.95","2042.45","2476.65","2536.6",NA,"3367","2502.13"
"Peak_Mag_80","2692.2","2042.45","2049.35","1454.55","854.7","833.8","1654.508"
"Peak_Dur_95","9","4","48","54",NA,"3","23.6"
"Peak_Dur_90","45","24","88","71",NA,"6","46.8"
"Peak_Dur_80","100","38","112","129","59","9","74.5"
"Peak_Fre_95","3","2","6","4",NA,"1","3.2"
"Peak_Fre_90","4","4","4","5",NA,"1","3.6"
"Peak_Fre_80","3","4","4","8","3","3","4.167"
"Peak_Tim_95","213","93.5","147","83.5",NA,"229","153.2"
"Peak_Tim_90","192","153.5","129.5","94",NA,"229","159.6"
"Peak_Tim_80","155","150.5","154","133.5","185","243","170.167"
"Rec_Mag","2692.2","1191.3","2012.5","2536.6","871.6","3367","2111.867"
"Rec_Tim","214","212","227","201","201","230","214.167"
"Rec_Dur","86","35","61","131","39","130","80.333"
"Rec_ROC","0.087","0.145","0.128","0.082","0.103","0.135","0.113"
"Dry_Mag_90","48","79.9","255.4","67.12","39.14","0","81.593"
"Dry_Mag_50","20.4","26.8","40.9","0","4","0","15.35"
"Dry_Mag_10","14.39","0","16.2","0","0.36","0","5.158"
"Dry_Tim","300","247","288","332","240","360","294.5"
"Dry_Dur","110","171","161","117","57","7","103.833"
"Dry_NoFL_Days","0","22","0","71","0","7","16.667"
"No_Peaks_Avg","1","1","1.857","2.4",NA,"1","1.451"
"No_Peaks_Max","1","1","1","1",NA,"1","1"
"Frac_V_Cent_Avg","1","0.5","0.666","0.738",NA,"0.667","0.714"
"Frac_V_Cent_Max","1","0.5","0.667","0.5",NA,"0.667","0.667"
