"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","9504.681","7830.486","26231.942","7865.568","6310.42","6772.025","10749.372"
"SD_Ann","3667.544","3071.239","26312.84","4005.762","2516.893","2293.449","13128.266"
"CV_Ann","0.386","0.392","1.003","0.509","0.399","0.339","1.221"
"Q10_Mag","6104","4430","5870","3534.92","3399.52","4165.95","4153.33"
"Q25_Mag","7200","5515","7280","4582.9","4140.8","5293.2","5620"
"Q50_Mag","8590","7125","15080","6912.3","6128","6352.55","7272.85"
"Q75_Mag","10720","9695","33930","10983.4","7684.4","7526.175","10397.1"
"Q90_Mag","14120","12160","67376","13847.1","10052.64","10469","16630.09"
"Q10_Tim","1","77","1","99","141","116","72"
"Q25_Tim","86","112","73","113","129","106","103"
"Q50_Tim","150","117","32","92","98","184","112"
"Q75_Tim","130","78","1","87","117","269","113"
"Q90_Tim","24","77","12","159",NA,NA,"68"
"Q10_Fre","1","3","1","6","6","3","3"
"Q25_Fre","2","6","3","4","5","5","4"
"Q50_Fre","6","9","3","5","6","8","6"
"Q75_Fre","7","6","1","3","2","3","3"
"Q90_Fre","1","1","1","2",NA,NA,"1"
"Q10_Dur","365","343","365","305","275","333","331"
"Q25_Dur","361","269","348","226","202","261","277"
"Q50_Dur","273","176","278","160","121","108","186"
"Q75_Dur","102","76","198","109","38","38","93"
"Q90_Dur","31","4","177","10",NA,NA,"55"
"Q10_Mag_Lng_Evt","21440","17380","106370","19077.7","13316.7","11513","31516"
"Q25_Mag_Lng_Evt","21440","17380","106370","19077.7","13316.7","11513","31516"
"Q50_Mag_Lng_Evt","12460","17380","106370","19077.7","13316.7","13180.1","30297"
"Q75_Mag_Lng_Evt","21440","17380","106370","19077.7","13316.7","13180.1","31794"
"Q90_Mag_Lng_Evt","21440","17380","106370","19077.7",NA,NA,"41066"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","62","1","11"
"Q25_Strt_Tim_Lng_Evt","1","1","1","99","68","1","28"
"Q50_Strt_Tim_Lng_Evt","277","45","1","102","90","321","139"
"Q75_Strt_Tim_Lng_Evt","15","56","1","123","109","322","104"
"Q90_Strt_Tim_Lng_Evt","24","77","12","170",NA,NA,"70"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","spr","spr","win","win"
"Q50_Strt_Sea_Lng_Evt","aut","win","win","spr","spr","aut","aut"
"Q75_Strt_Sea_Lng_Evt","win","win","win","spr","spr","aut","win"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","sum",NA,NA,"win"
"Q10_Dur_Lng_Evt","365","254","365","189","139","171","247"
"Q25_Dur_Lng_Evt","229","156","254","89","129","162","169"
"Q50_Dur_Lng_Evt","83","57","249","85","99","46","103"
"Q75_Dur_Lng_Evt","47","37","198","61","33","23","66"
"Q90_Dur_Lng_Evt","31","4","177","9",NA,NA,"55"
"Init_Mag","21347.91","11000.658","34012.041","9643.728","7388.354","7082.734","15079.238"
"Init_Tim","41","-59","68","-49","-46","11","-5.667"
"Init_Dur","12","3","5","23","21","21","14.167"
"Wet_BFL_Mag_10","6270","6730","27420","5550","3681.05","4120.2","8961.875"
"Wet_BFL_Mag_50","9335","9890","38150","9121.9","7049.15","6196","13290.342"
"Wet_Tim","1","-99","35","-71","-80","-73","-47.833"
"Wet_BFL_Dur","162","237","116","247","252","325","223.167"
"Peak_Mag_Ann","21440","17380","106370","19077.7","13316.7","13180.1","31794.083"
"Peak_Mag_Tim","39","78","149","175","117","326","147.333"
"Peak_Mag_95",NA,NA,"70390",NA,NA,NA,"70390"
"Peak_Mag_90","21440","17380","106370","17891.75",NA,NA,"40770.438"
"Peak_Mag_80","12520","12255","106370","13185.6","12683.4","11783.7","28132.95"
"Peak_Dur_95",NA,NA,"112",NA,NA,NA,"112"
"Peak_Dur_90","31","4","177","10",NA,NA,"55.5"
"Peak_Dur_80","66","56","196","78","21","26","73.833"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","1","1","1","2",NA,NA,"1.25"
"Peak_Fre_80","4","4","1","6","2","3","3.333"
"Peak_Tim_95",NA,NA,"69",NA,NA,NA,"69"
"Peak_Tim_90","24","77","12","116.5",NA,NA,"57.375"
"Peak_Tim_80","142.5","84.5","1","128","120","323","133.167"
"Rec_Mag","12580","12010","106370","19077.7","10958.4","7004","28000.017"
"Rec_Tim","162","137","150","175","171","251","174.333"
"Rec_Dur","69","121","105","83","120","22","86.667"
"Rec_ROC","0.035","0.032","0.034","0.068","0.043","0.041","0.042"
"Dry_Mag_90","8180","18730","7237.7","4231.2","3245.2","11780.58","8900.78"
"Dry_Mag_50","6300","7100","6003","4145","3158","8214.65","5820.108"
"Dry_Mag_10","5610","3930","5550","2950","3070.8","4240.35","4225.192"
"Dry_Tim","231","258","255","258","291","273","261"
"Dry_Dur","36","144","40","28","2","94","57.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1",NA,NA,NA,"1"
"No_Peaks_Max",NA,NA,"1",NA,NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.566",NA,NA,NA,"0.566"
"Frac_V_Cent_Max",NA,NA,"0.62",NA,NA,NA,"0.62"
