"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","9504.681","7830.486","26231.942","8336.836","7416.77","8363.492","11277.796"
"SD_Ann","3667.544","3071.239","26312.84","4352.518","2605.283","3195.347","13035.09"
"CV_Ann","0.386","0.392","1.003","0.522","0.351","0.382","1.156"
"Q10_Mag","6104","4430","5870","3540","4814","4668","4857.3"
"Q25_Mag","7200","5515","7280","4900","5462","6293","5970"
"Q50_Mag","8590","7125","15080","7303","6801","7414","7770"
"Q75_Mag","10720","9695","33930","11509","8660","10359","11070"
"Q90_Mag","14120","12160","67376","15350","11073","13101","16949"
"Q10_Tim","1","116","1","90","134","113","75"
"Q25_Tim","106","106","58","113","124","110","102"
"Q50_Tim","154","103","47","106","89","107","101"
"Q75_Tim","117","79","1","88","104","159","91"
"Q90_Tim","25","78","13","164",NA,NA,"70"
"Q10_Fre","1","4","1","3","4","3","2"
"Q25_Fre","3","4","2","3","5","5","3"
"Q50_Fre","7","7","3","6","6","4","5"
"Q75_Fre","7","4","1","3","3","4","3"
"Q90_Fre","1","1","1","2",NA,NA,"1"
"Q10_Dur","365","316","365","281","333","328","331"
"Q25_Dur","348","254","322","228","232","285","278"
"Q50_Dur","243","155","262","154","128","178","186"
"Q75_Dur","81","59","196","106","39","79","93"
"Q90_Dur","29","3","175","16",NA,NA,"55"
"Q10_Mag_Lng_Evt","21440","17380","106370","19458","15528","15902","32679"
"Q25_Mag_Lng_Evt","21440","17380","106370","19458","15528","15902","32679"
"Q50_Mag_Lng_Evt","12580","17380","106370","19458","15528","15902","31203"
"Q75_Mag_Lng_Evt","21440","17380","106370","19458","15528","15902","32679"
"Q90_Mag_Lng_Evt","21440","17380","106370","18090",NA,NA,"40820"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","55","1","10"
"Q25_Strt_Tim_Lng_Evt","1","1","1","99","67","1","28"
"Q50_Strt_Tim_Lng_Evt","102","45","1","119","93","12","62"
"Q75_Strt_Tim_Lng_Evt","17","56","1","124","109","23","55"
"Q90_Strt_Tim_Lng_Evt","25","78","13","158",NA,NA,"68"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","spr","spr","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","spr","win","spr"
"Q75_Strt_Sea_Lng_Evt","win","win","win","spr","spr","win","win"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","sum",NA,NA,"win"
"Q10_Dur_Lng_Evt","365","158","365","192","147","171","233"
"Q25_Dur_Lng_Evt","187","155","254","91","130","166","163"
"Q50_Dur_Lng_Evt","70","56","214","70","101","122","105"
"Q75_Dur_Lng_Evt","43","36","196","60","29","25","64"
"Q90_Dur_Lng_Evt","29","3","175","8",NA,NA,"53"
"Init_Mag","21347.91","11000.658","34012.041","9643.728","7894.217","15813.822","16618.729"
"Init_Tim","41","-59","68","-49","-41","33","-1.167"
"Init_Dur","12","3","5","23","26","6","12.5"
"Wet_BFL_Mag_10","6270","6730","27420","5550","5000","6760","9621.667"
"Wet_BFL_Mag_50","9335","9890","38150","9265","7303","8810","13792.167"
"Wet_Tim","1","-99","35","-71","-70","-10","-35.667"
"Wet_BFL_Dur","162","237","116","247","194","123","179.833"
"Peak_Mag_Ann","21440","17380","106370","19458","15528","15902","32679.667"
"Peak_Mag_Tim","39","78","149","175","117","31","98.167"
"Peak_Mag_95",NA,NA,"70390",NA,NA,NA,"70390"
"Peak_Mag_90","21440","17380","106370","18774",NA,NA,"40991"
"Peak_Mag_80","12460","14890","106370","14460","15528","15724","29905.333"
"Peak_Dur_95",NA,NA,"112",NA,NA,NA,"112"
"Peak_Dur_90","29","3","175","16",NA,NA,"55.75"
"Peak_Dur_80","56","38","195","78","27","61","75.833"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","1","1","1","2",NA,NA,"1.25"
"Peak_Fre_80","5","2","1","4","1","3","2.667"
"Peak_Tim_95",NA,NA,"69",NA,NA,NA,"69"
"Peak_Tim_90","25","78","13","164",NA,NA,"70"
"Peak_Tim_80","157","86","1","92","109","100","90.833"
"Rec_Mag","12580","12010","106370","19458","15528","15724","30278.333"
"Rec_Tim","162","137","150","175","123","112","143.167"
"Rec_Dur","69","121","105","83","144","163","114.167"
"Rec_ROC","0.035","0.032","0.034","0.071","0.031","0.03","0.039"
"Dry_Mag_90","8180","18730","7237.7","5340","6914","12149","9758.45"
"Dry_Mag_50","6300","7100","6003","4220","5612","8825","6343.333"
"Dry_Mag_10","5610","3930","5550","2950","4562","4582","4530.667"
"Dry_Tim","231","258","255","258","267","275","257.333"
"Dry_Dur","36","144","40","38","89","92","73.167"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1",NA,NA,NA,"1"
"No_Peaks_Max",NA,NA,"1",NA,NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.566",NA,NA,NA,"0.566"
"Frac_V_Cent_Max",NA,NA,"0.62",NA,NA,NA,"0.62"
