"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","343.808","149.292","535.455","574.293","233.704","92","321.242"
"SD_Ann","553.871","350.116","819.1","732.318","273.347","321.62","578.777"
"CV_Ann","1.611","2.345","1.53","1.275","1.17","3.496","1.802"
"Q10_Mag","4.54","0","17.94","3.56","0","0","0"
"Q25_Mag","12.7","0.3","27.7","19.7","0.1","0","3.2"
"Q50_Mag","29.1","14.3","133.6","273.9","146.1","0.45","34.5"
"Q75_Mag","634.3","59.075","888.4","858.2","390.5","35.65","389.225"
"Q90_Mag","1137.62","477.75","1667.08","1955.98","693.92","262.15","1037.78"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","105","142","31","1","137","240","109"
"Q50_Tim","160","177","145","111","135","227","159"
"Q75_Tim","153","169","136","150","216","201","170"
"Q90_Tim","188","178","138","150",NA,"226","176"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","3","7","2","1","3","7","3"
"Q50_Fre","7","9","7","4","2","8","6"
"Q75_Fre","5","4","4","6","3","6","4"
"Q90_Fre","6","4","4","6",NA,"2","4"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","339","224","360","329","235","165","275"
"Q50_Dur","162","134","276","225","222","97","186"
"Q75_Dur","111","42","119","170","92","22","92"
"Q90_Dur","51","22","87","72",NA,"6","47"
"Q10_Mag_Lng_Evt","4396.9","2943.9","5206.4","3108.7","937.3","3549.3","3357"
"Q25_Mag_Lng_Evt","4396.9","1318.7","5206.4","3108.7","937.3","706.2","2612"
"Q50_Mag_Lng_Evt","4396.9","381.9","1927.5","3108.7","937.3","3549.3","2383"
"Q75_Mag_Lng_Evt","4396.9","1106.5","1927.5","2471.4","699.7","484.1","1847"
"Q90_Mag_Lng_Evt","2542.7","1318.7","1927.5","2471.4",NA,"3549.3","2361"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","147","170","33","1","70","279","116"
"Q50_Strt_Tim_Lng_Evt","147","300","167","89","71","223","166"
"Q75_Strt_Tim_Lng_Evt","154","170","190","156","315","133","186"
"Q90_Strt_Tim_Lng_Evt","206","204","194","170",NA,"230","200"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","sum","win","win","spr","aut","spr"
"Q50_Strt_Sea_Lng_Evt","spr","aut","sum","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","sum","sum","sum","sum","aut","spr","sum"
"Q90_Strt_Sea_Lng_Evt","sum","sum","sum","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","219","76","333","329","163","50","195"
"Q50_Dur_Lng_Evt","90","31","119","167","159","27","98"
"Q75_Dur_Lng_Evt","77","19","62","88","38","8","48"
"Q90_Dur_Lng_Evt","23","13","46","55",NA,"5","28"
"Init_Mag","87.157","33.918","352.071","49.42","829.624","423.784","295.996"
"Init_Tim","64","-53","-44","-60","110","137","25.667"
"Init_Dur","8","12","25","10","28","31","19"
"Wet_BFL_Mag_10","1.9","0.1","22.41","315.08","138.76","0","79.708"
"Wet_BFL_Mag_50","536.45","8.8","279.95","765.75","300.9","0.2","315.342"
"Wet_Tim","86","45","51","84","84","-72","46.333"
"Wet_BFL_Dur","196","169","162","118","119","304","178"
"Peak_Mag_Ann","4396.9","2943.9","5206.4","3108.7","937.3","3549.3","3357.083"
"Peak_Mag_Tim","188","58","79","109","202","231","144.5"
"Peak_Mag_95","2751.4","2869.65","1927.5","2471.4",NA,"3549.3","2713.85"
"Peak_Mag_90","2001.9","2057.05","2073.15","1902.85",NA,"2409.05","2088.8"
"Peak_Mag_80","1461.1","2057.05","1410.6","1207.25","910.4","845","1315.233"
"Peak_Dur_95","8","3","46","54",NA,"5","23.2"
"Peak_Dur_90","51","22","87","72",NA,"6","47.6"
"Peak_Dur_80","100","33","106","130","66","12","74.5"
"Peak_Fre_95","4","2","5","3",NA,"1","3"
"Peak_Fre_90","6","4","4","6",NA,"2","4.4"
"Peak_Fre_80","5","4","5","8","3","5","5"
"Peak_Tim_95","210","94.5","95","106",NA,"230","147.1"
"Peak_Tim_90","203","155","130.5","100",NA,"219.5","161.6"
"Peak_Tim_80","266","152.5","192","135","185","244","195.75"
"Rec_Mag","2960.1","1102.2","1927.5","2471.4","937.3","3549.3","2157.967"
"Rec_Tim","281","213","212","201","202","231","223.333"
"Rec_Dur","20","58","75","134","49","100","72.667"
"Rec_ROC","0.107","0.25","0.139","0.102","0.234","0.39","0.204"
"Dry_Mag_90","51.75","70.86","259.1","61.56","0","82.15","87.57"
"Dry_Mag_50","16.4","17.9","28.6","0.1","0","16.25","13.208"
"Dry_Mag_10","12.6","0","17.84","0","0","0","5.073"
"Dry_Tim","301","271","287","335","251","331","296"
"Dry_Dur","110","147","163","115","43","36","102.333"
"Dry_NoFL_Days","0","30","0","49","40","12","21.833"
"No_Peaks_Avg","1","1","1.833","3.5",NA,"1","1.667"
"No_Peaks_Max","1","1","3","2",NA,"1","1.6"
"Frac_V_Cent_Avg","0.792","0.75","0.644","0.653",NA,"0.833","0.734"
"Frac_V_Cent_Max","1","0.5","0.533","0.6",NA,"0.667","0.66"
