"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","280.852","131.13","494.6","518.413","165.631","88.186","279.647"
"SD_Ann","494.949","320.18","792.687","727.733","222.921","319.318","551.871"
"CV_Ann","1.762","2.442","1.603","1.404","1.346","3.621","1.973"
"Q10_Mag","3.72","0","16.32","0.2","0","0","0"
"Q25_Mag","12.5","0.1","23.7","15.7","0.1","0","0.9"
"Q50_Mag","28.9","5.65","108.8","166.6","58.2","0.4","27.8"
"Q75_Mag","402.4","49.825","753.2","726.4","280.8","31.475","302.875"
"Q90_Mag","903.48","430.75","1401.98","1917.74","513.28","253.3","904.23"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","91","129","1","58","165","237","113"
"Q50_Tim","159","142","153","108","177","238","162"
"Q75_Tim","160","161","135","132","217","195","166"
"Q90_Tim","213","179","137","147",NA,"226","180"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","2","8","1","2","4","6","3"
"Q50_Fre","8","6","8","7","5","7","6"
"Q75_Fre","7","4","5","4","3","6","4"
"Q90_Fre","5","4","5","4",NA,"2","4"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","355","224","365","320","237","175","279"
"Q50_Dur","187","125","273","226","204","113","188"
"Q75_Dur","104","49","118","172","87","31","93"
"Q90_Dur","40","21","90","83",NA,"6","48"
"Q10_Mag_Lng_Evt","4320.6","2943.9","5206.4","3108.7","838.7","3549.3","3327"
"Q25_Mag_Lng_Evt","4320.6","1231.7","5206.4","3108.7","838.7","706.2","2568"
"Q50_Mag_Lng_Evt","4320.6","2943.9","5206.4","3108.7","838.7","3549.3","3327"
"Q75_Mag_Lng_Evt","4320.6","989.2","1716.5","2471.4","489.8","484.1","1745"
"Q90_Mag_Lng_Evt","2526.8","1231.7","1716.5","2471.4",NA,"3549.3","2299"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","147","170","1","72","137","268","132"
"Q50_Strt_Tim_Lng_Evt","147","20","54","89","155","223","114"
"Q75_Strt_Tim_Lng_Evt","154","170","188","128","318","128","181"
"Q90_Strt_Tim_Lng_Evt","207","204","193","169",NA,"230","200"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","sum","win","spr","spr","aut","spr"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","sum","sum","spr"
"Q75_Strt_Sea_Lng_Evt","sum","sum","sum","spr","aut","spr","sum"
"Q90_Strt_Sea_Lng_Evt","sum","sum","sum","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","219","79","365","259","98","62","180"
"Q50_Dur_Lng_Evt","90","42","93","167","75","37","84"
"Q75_Dur_Lng_Evt","76","18","55","117","35","13","52"
"Q90_Dur_Lng_Evt","21","13","47","58",NA,"5","28"
"Init_Mag","87.157","33.918","268.98","71.993","118.791","397.702","163.09"
"Init_Tim","64","-53","-44","-85","76","137","15.833"
"Init_Dur","8","12","14","3","13","31","13.5"
"Wet_BFL_Mag_10","10.87","0.1","22.43","228.63","21","0","47.172"
"Wet_BFL_Mag_50","592.55","5.35","311.6","650.95","170.9","0.15","288.583"
"Wet_Tim","142","45","51","84","82","-72","55.333"
"Wet_BFL_Dur","140","160","164","118","121","304","167.833"
"Peak_Mag_Ann","4320.6","2943.9","5206.4","3108.7","838.7","3549.3","3327.933"
"Peak_Mag_Tim","188","58","79","109","202","231","144.5"
"Peak_Mag_95","2743.45","2598.65","1734.9","2471.4",NA,"3549.3","2619.54"
"Peak_Mag_90","2526.8","1742.55","1716.5","1922.95",NA,"2409.05","2063.57"
"Peak_Mag_80","1164.4","1742.55","1235.2","861.35","684.4","775.6","1077.25"
"Peak_Dur_95","12","3","47","56",NA,"5","24.6"
"Peak_Dur_90","40","21","90","83",NA,"6","48"
"Peak_Dur_80","88","37","112","126","63","15","73.5"
"Peak_Fre_95","4","2","5","3",NA,"1","3"
"Peak_Fre_90","5","4","5","4",NA,"2","4"
"Peak_Fre_80","5","4","5","8","3","6","5.167"
"Peak_Tim_95","210","94.5","95","106",NA,"230","147.1"
"Peak_Tim_90","267","155.5","118","131.5",NA,"219.5","178.3"
"Peak_Tim_80","266","151","190","145","183","236.5","195.25"
"Rec_Mag","2960.1","1050.6","1716.5","2471.4","838.7","3549.3","2097.767"
"Rec_Tim","281","204","214","201","202","231","222.167"
"Rec_Dur","20","67","63","134","49","100","72.167"
"Rec_ROC","0.107","0.223","0.124","0.12","0.286","0.386","0.208"
"Dry_Mag_90","51.75","60.54","217.64","12.56","0","82.15","70.773"
"Dry_Mag_50","16.4","2.1","27.5","0.1","0","16.25","10.392"
"Dry_Mag_10","12.6","0","15.54","0","0","0","4.69"
"Dry_Tim","301","271","277","335","251","331","294.333"
"Dry_Dur","110","147","173","113","43","36","103.667"
"Dry_NoFL_Days","0","54","10","49","40","12","27.5"
"No_Peaks_Avg","1","1","1.333","4.667",NA,"1","1.8"
"No_Peaks_Max","1","1","3","2",NA,"1","1.6"
"Frac_V_Cent_Avg","0.833","0.75","0.688","0.714",NA,"0.833","0.764"
"Frac_V_Cent_Max","1","0.5","0.533","0.6",NA,"0.667","0.66"
