"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","43.402","42.854","119.223","151.13","16.285","54.863","71.272"
"SD_Ann","124.27","112.084","223.784","226.099","45.591","226.434","180.6"
"CV_Ann","2.863","2.615","1.877","1.496","2.8","4.127","2.534"
"Q10_Mag","0","0","0.2","1.04","0","0","0"
"Q25_Mag","0","0","2.2","4.6","0","0","0"
"Q50_Mag","3.9","1.7","12.1","43.9","0","0","4.2"
"Q75_Mag","30.9","19.1","148.4","197.4","4.8","16.975","49"
"Q90_Mag","122.8","149.85","339.06","493.4","60.46","81.5","218.15"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","169","147","145","122","157","194","155"
"Q75_Tim","190","170","142","132","156","232","170"
"Q90_Tim","254","168","133","151","190","231","187"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","8","8","7","6","6","5","6"
"Q75_Fre","9","9","8","8","3","7","7"
"Q90_Fre","7","7","9","5","3","5","6"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","184","158","239","291","95","146","185"
"Q75_Dur","87","66","138","190","45","58","97"
"Q90_Dur","16","29","81","91","9","23","41"
"Q10_Mag_Lng_Evt","1490.5","1130.1","1437.1","1264.9","298.2","2222.6","1307"
"Q25_Mag_Lng_Evt","1490.5","1130.1","1437.1","1264.9","298.2","2222.6","1307"
"Q50_Mag_Lng_Evt","562.7","394","983.1","1264.9","233.5","2222.6","943"
"Q75_Mag_Lng_Evt","562.7","394","983.1","1264.9","298.2","2222.6","954"
"Q90_Mag_Lng_Evt","1490.5","360.6","1437.1","1264.9","298.2","2222.6","1178"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","153","172","168","85","113","199","148"
"Q75_Strt_Tim_Lng_Evt","204","172","169","130","191","229","182"
"Q90_Strt_Tim_Lng_Evt","281","201","59","165","199","229","189"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","sum","sum","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","sum","sum","sum","spr","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","aut","sum","win","sum","sum","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","96","59","110","188","34","101","98"
"Q75_Dur_Lng_Evt","28","23","47","125","20","15","43"
"Q90_Dur_Lng_Evt","4","9","35","64","7","9","21"
"Init_Mag","52.297","292.578","56.831","19.078","1.068","10.323","72.029"
"Init_Tim","36","-7","-29","-49","-87","-71","-34.5"
"Init_Dur","16","11","5","7","3","10","8.667"
"Wet_BFL_Mag_10","0.7","0","0.1","42.06","0","10.3","8.86"
"Wet_BFL_Mag_50","18.45","137.5","48.2","197.4","2.35","16.6","70.083"
"Wet_Tim","147","167","-8","81","-72","222","89.5"
"Wet_BFL_Dur","136","35","244","123","278","11","137.833"
"Peak_Mag_Ann","1490.5","1130.1","1437.1","1264.9","298.2","2222.6","1307.233"
"Peak_Mag_Tim","282","365","82","182","205","232","224.667"
"Peak_Mag_95","562.7","454.9","983.1","862.95",NA,"498.2","672.37"
"Peak_Mag_90","350.1","394","344.3","326.6","233.5","440","348.083"
"Peak_Mag_80","350.1","394","368.1","288.6","190.8","291.8","313.9"
"Peak_Dur_95","6","8","37","50",NA,"12","22.6"
"Peak_Dur_90","16","29","81","91","9","23","41.5"
"Peak_Dur_80","51","54","124","175","28","40","78.667"
"Peak_Fre_95","3","5","5","2",NA,"3","3.6"
"Peak_Fre_90","7","7","9","5","3","5","6"
"Peak_Fre_80","7","7","8","6","4","8","6.667"
"Peak_Tim_95","282","173","69","140",NA,"257","184.2"
"Peak_Tim_90","215","187","201","131","194","229","192.833"
"Peak_Tim_80","225","173","150.5","108","146","243","174.25"
"Rec_Mag","1490.5","360.6","735.9","848.9","298.2","2222.6","992.783"
"Rec_Tim","282","201","235","203","205","232","226.333"
"Rec_Dur","52","39","73","75","29","74","57"
"Rec_ROC","0.191","0.282","0.132","0.228","0.333","0.198","0.227"
"Dry_Mag_90","109.12","17.94","25.54","0.6","15.61","18.9","31.285"
"Dry_Mag_50","2","0","3.6","0","0","0","0.933"
"Dry_Mag_10","0","0","0.38","0","0","0","0.063"
"Dry_Tim","334","240","308","278","234","306","283.333"
"Dry_Dur","199","119","139","16","354","61","148"
"Dry_NoFL_Days","55","87","6","12","278","38","79.333"
"No_Peaks_Avg","1","1","1.2","4.333",NA,"1.333","1.773"
"No_Peaks_Max","1","1","2","11",NA,"2","3.4"
"Frac_V_Cent_Avg","0.667","0.8","0.611","0.823",NA,"0.815","0.743"
"Frac_V_Cent_Max","0.5","0.5","0.438","0.468",NA,"0.444","0.47"
