"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","187.083","62.575","307.168","533.132","140.338","58.205","214.609"
"SD_Ann","345.92","162.386","692.034","689.667","170.978","254.65","475.223"
"CV_Ann","1.849","2.595","2.253","1.294","1.218","4.375","2.214"
"Q10_Mag","1","0.2","0.8","5.78","0","0","0"
"Q25_Mag","7.2","0.4","10","15.2","0","0","0.5"
"Q50_Mag","34.4","5.1","43","239.4","95.2","0.05","21.8"
"Q75_Mag","305","45.025","356.3","794.2","206.5","9.45","207.8"
"Q90_Mag","558.2","208.35","811.3","1772.98","409.5","84.25","628.29"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","90","139","50","1","142","248","111"
"Q50_Tim","193","172","160","102","139","224","165"
"Q75_Tim","163","162","146","111","230","212","170"
"Q90_Tim","178","94","144","164",NA,"228","161"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","2","7","4","1","2","7","3"
"Q50_Fre","9","5","8","5","2","5","5"
"Q75_Fre","5","4","5","5","6","5","5"
"Q90_Fre","6","2","5","8",NA,"3","4"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","357","264","340","344","218","151","279"
"Q50_Dur","241","124","226","254","210","79","189"
"Q75_Dur","100","43","116","194","92","23","94"
"Q90_Dur","29","4","66","121",NA,"9","45"
"Q10_Mag_Lng_Evt","3154.7","1615.9","7037.5","3096.7","610.6","2769.8","3047"
"Q25_Mag_Lng_Evt","3154.7","1272.5","7037.5","3096.7","409.7","23.1","2499"
"Q50_Mag_Lng_Evt","3154.7","510.8","1220.6","3096.7","409.7","2769.8","1860"
"Q75_Mag_Lng_Evt","3154.7","510.8","1220.6","3096.7","610.6","2769.8","1893"
"Q90_Mag_Lng_Evt","1096.6","1272.5","1220.6","2385.3",NA,"2769.8","1748"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","143","1","53","1","75","282","92"
"Q50_Strt_Tim_Lng_Evt","154","171","187","86","75","227","150"
"Q75_Strt_Tim_Lng_Evt","174","176","189","90","311","229","194"
"Q90_Strt_Tim_Lng_Evt","95","58","193","168",NA,"230","148"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","spr","win","win","win","spr","aut","win"
"Q50_Strt_Sea_Lng_Evt","sum","sum","sum","spr","spr","sum","sum"
"Q75_Strt_Sea_Lng_Evt","sum","sum","sum","spr","aut","sum","sum"
"Q90_Strt_Sea_Lng_Evt","spr","win","sum","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","223","86","313","344","154","49","194"
"Q50_Dur_Lng_Evt","117","53","101","173","151","35","105"
"Q75_Dur_Lng_Evt","58","14","63","156","45","8","57"
"Q90_Dur_Lng_Evt","12","2","25","62",NA,"6","21"
"Init_Mag","15.497","44.806","96.516","652.638","128.11","280.165","202.955"
"Init_Tim","31","-51","-49","4","81","139","25.833"
"Init_Dur","9","13","5","6","29","36","16.333"
"Wet_BFL_Mag_10","0.94","0.3","9.74","271.12","92.93","0","62.505"
"Wet_BFL_Mag_50","177.6","5","231.9","691.2","165.35","0","211.842"
"Wet_Tim","88","43","61","85","81","-66","48.667"
"Wet_BFL_Dur","195","166","169","117","128","299","179"
"Peak_Mag_Ann","3154.7","1615.9","7037.5","3096.7","610.6","2769.8","3047.533"
"Peak_Mag_Tim","188","132","80","107","345","232","180.667"
"Peak_Mag_95","2080.85","1444.2","1767.35","2369.8",NA,"2769.8","2086.4"
"Peak_Mag_90","1317.55","1444.2","1051.1","1165.95",NA,"825.7","1160.9"
"Peak_Mag_80","1096.6","510.8","776.9","1791.9","404.5","730.2","885.15"
"Peak_Dur_95","13","3","25","66",NA,"6","22.6"
"Peak_Dur_90","29","4","66","121",NA,"9","45.8"
"Peak_Dur_80","92","16","99","177","55","18","76.167"
"Peak_Fre_95","4","2","4","5",NA,"1","3.2"
"Peak_Fre_90","6","2","5","8",NA,"3","4.8"
"Peak_Fre_80","5","5","5","6","4","5","5"
"Peak_Tim_95","201.5","95","138","106",NA,"230","154.1"
"Peak_Tim_90","211","94.5","119","136.5",NA,"230","158.2"
"Peak_Tim_80","174","179","191","123.5","198.5","229","182.5"
"Rec_Mag","2623.2","320.7","1051.1","2322.1","409.7","2769.8","1582.767"
"Rec_Tim","282","208","229","201","208","232","226.667"
"Rec_Dur","20","43","108","145","28","46","65"
"Rec_ROC","0.111","0.172","0.161","0.112","0.189","0.579","0.221"
"Dry_Mag_90","45.66","63.02","206.09","0.3","0","39.36","59.072"
"Dry_Mag_50","21.9","0.5","19.95","0.2","0","4.4","7.825"
"Dry_Mag_10","7.78","0.1","2.53","0","0","0","1.735"
"Dry_Tim","302","251","337","346","236","278","291.667"
"Dry_Dur","107","177","114","101","64","89","108.667"
"Dry_NoFL_Days","0","13","0","42","63","14","22"
"No_Peaks_Avg","1.5","1","1.75","2.8",NA,"1","1.61"
"No_Peaks_Max","1","1","3","2",NA,"1","1.6"
"Frac_V_Cent_Avg","0.625","1","0.688","0.602",NA,"0.875","0.758"
"Frac_V_Cent_Max","0.5","1","0.462","0.5",NA,"0.75","0.642"
