"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","1982.805","2386.287","7436.953","1534.452","1088.523","1311.476","2622.709"
"SD_Ann","1199.326","1823.878","7303.074","2225.837","710.918","535.816","3927.339"
"CV_Ann","0.605","0.764","0.982","1.451","0.653","0.409","1.497"
"Q10_Mag","607.34","500.5","740.02","177.74","300.6","521.3","382.32"
"Q25_Mag","969.6","1310.25","1135.8","365.7","520.3","1014.175","777.5"
"Q50_Mag","1730.9","2160.5","5029.8","817.5","906","1327.75","1417.25"
"Q75_Mag","2835","2905","11767.2","1503.3","1741.5","1624.95","2495.075"
"Q90_Mag","3593.76","4312","20300.56","3686.8","2169.08","1983.9","5360.19"
"Q10_Tim","1","91","79","124","70","68","72"
"Q25_Tim","85","126","113","67","88","57","89"
"Q50_Tim","87","115","73","101","75","123","95"
"Q75_Tim","102","136","37","94","117","104","98"
"Q90_Tim","28","188","7","54",NA,NA,"69"
"Q10_Fre","1","3","2","8","5","3","3"
"Q25_Fre","4","4","4","11","8","4","5"
"Q50_Fre","5","5","6","7","4","12","6"
"Q75_Fre","4","11","3","4","2","2","4"
"Q90_Fre","1","2","2","2",NA,NA,"1"
"Q10_Dur","365","345","360","284","308","349","335"
"Q25_Dur","315","311","327","200","229","311","282"
"Q50_Dur","233","272","262","123","110","166","194"
"Q75_Dur","130","154","219","58","6","8","95"
"Q90_Dur","6","24","171","19",NA,NA,"55"
"Q10_Mag_Lng_Evt","7184.8","9721","25001.3","13064.3","3514.6","2570.4","10176"
"Q25_Mag_Lng_Evt","7184.8","4952","25001.3","13064.3","3514.6","2570.4","9381"
"Q50_Mag_Lng_Evt","4175.6","4952","25001.3","6151.9","3514.6","2527.2","7720"
"Q75_Mag_Lng_Evt","3809.3","4952","25001.3","13064.3","3514.6","2527.2","8811"
"Q90_Mag_Lng_Evt","7184.8","9721","25001.3","13064.3",NA,NA,"13742"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","103","1","1","11","1","19"
"Q50_Strt_Tim_Lng_Evt","74","106","1","100","46","103","71"
"Q75_Strt_Tim_Lng_Evt","113","110","1","37","96","149","84"
"Q90_Strt_Tim_Lng_Evt","28","67","1","38",NA,NA,"33"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","spr","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","spr","spr","win","spr","win","spr","spr"
"Q75_Strt_Sea_Lng_Evt","spr","spr","win","win","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win","spr","win","win",NA,NA,"win"
"Q10_Dur_Lng_Evt","365","232","250","143","239","272","250"
"Q25_Dur_Lng_Evt","213","128","188","142","147","255","178"
"Q50_Dur_Lng_Evt","139","122","187","42","95","73","109"
"Q75_Dur_Lng_Evt","62","40","184","22","5","5","53"
"Q90_Dur_Lng_Evt","6","14","165","15",NA,NA,"50"
"Init_Mag","3887.717","2486.367","2790.274","4493.508","682.638","1041.896","2563.733"
"Init_Tim","13","6","-35","-88","-88","-14","-34.333"
"Init_Dur","13","7","39","26","8","8","16.833"
"Wet_BFL_Mag_10","1383.06","1320.3","7036.9","800.88","560.24","881.01","1997.065"
"Wet_BFL_Mag_50","2658.55","2707.5","11627","1273.5","1120.4","1412.8","3466.625"
"Wet_Tim","1","31","-16","-100","-27","-34","-24.167"
"Wet_BFL_Dur","204","192","131","269","263","300","226.5"
"Peak_Mag_Ann","7184.8","9721","25001.3","13064.3","3514.6","2570.4","10176.067"
"Peak_Mag_Tim","31","71","114","47","99","29","65.167"
"Peak_Mag_95",NA,NA,"14252.2","13064.3",NA,NA,"13658.25"
"Peak_Mag_90","7184.8","8657.5","15941.75","9608.1",NA,NA,"10348.038"
"Peak_Mag_80","3610.95","3467","4461.45","5725.3","3514.6",NA,"4155.86"
"Peak_Dur_95",NA,NA,"103","7",NA,NA,"55"
"Peak_Dur_90","6","24","171","19",NA,NA,"55"
"Peak_Dur_80","93","102","202","53","4",NA,"90.8"
"Peak_Fre_95",NA,NA,"4","1",NA,NA,"2.5"
"Peak_Fre_90","1","2","2","2",NA,NA,"1.75"
"Peak_Fre_80","6","13","4","4","1",NA,"5.6"
"Peak_Tim_95",NA,NA,"28","43",NA,NA,"35.5"
"Peak_Tim_90","28","212","89","75",NA,NA,"101"
"Peak_Tim_80","126","126","216","119.5","97",NA,"136.9"
"Rec_Mag","4175.6","4815","25001.3","5298.7","1965.4","1639.6","7149.267"
"Rec_Tim","204","222","114","168","235","265","201.333"
"Rec_Dur","114","71","138","70","62","15","78.333"
"Rec_ROC","0.083","0.13","0.03","0.259","0.046","0.124","0.112"
"Dry_Mag_90","1868.6","2310.1","961.54","774.4","736.58","1293.18","1324.067"
"Dry_Mag_50","986.3","1241","379.65","408","525.8","924.5","744.208"
"Dry_Mag_10","475.18","247.9","289.43","155.9","196.14","233.76","266.385"
"Dry_Tim","318","293","252","238","297","280","279.667"
"Dry_Dur","79","58","14","101","35","87","62.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"1.2","1",NA,NA,"1.1"
"No_Peaks_Max",NA,NA,"2","1",NA,NA,"1.5"
"Frac_V_Cent_Avg",NA,NA,"0.565","0.571",NA,NA,"0.568"
"Frac_V_Cent_Max",NA,NA,"0.462","0.571",NA,NA,"0.516"
