"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","340.81","261.917","1658.637","801.296","190.773","159.21","568.447"
"SD_Ann","477.738","649.223","3476.985","1069.014","408.147","729.637","1644.966"
"CV_Ann","1.402","2.479","2.096","1.334","2.139","4.583","2.894"
"Q10_Mag","2.2","0.8","132.82","34.42","0","0","0"
"Q25_Mag","16.5","15.8","230.9","61.3","0","0","1"
"Q50_Mag","37.8","84.9","779.4","271.5","0","0","78.95"
"Q75_Mag","705.6","186.55","1812","1088.8","23.4","12.75","641.175"
"Q90_Mag","1137.68","744.5","3008.42","2617.36","1124.5","208","1422.93"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","125","88","1","20","91","235","93"
"Q50_Tim","179","123","1","102","106","245","126"
"Q75_Tim","150","176","88","124","110","234","147"
"Q90_Tim","185","263","126","167",NA,"230","194"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","4","3","1","2","8","3","3"
"Q50_Fre","8","8","1","7","4","4","5"
"Q75_Fre","4","5","4","4","1","4","3"
"Q90_Fre","5","3","7","2",NA,"3","4"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","341","334","365","358","140","119","276"
"Q50_Dur","152","200","365","259","76","54","184"
"Q75_Dur","100","41","207","136","56","19","93"
"Q90_Dur","11","14","123","67",NA,"10","45"
"Q10_Mag_Lng_Evt","1827.7","7759","35054.8","4078.9","1232.8","5924","9312"
"Q25_Mag_Lng_Evt","1564.6","1715.3","35054.8","4078.9","1232.8","5924","8261"
"Q50_Mag_Lng_Evt","1827","1715.3","35054.8","4078.9","1232.8","5924","8305"
"Q75_Mag_Lng_Evt","1827","1585.9","35054.8","4078.9","1232.8","5924","8283"
"Q90_Mag_Lng_Evt","1703.8","7759","3729.9","4078.9",NA,"5924","4639"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","109","224","56"
"Q50_Strt_Tim_Lng_Evt","148","1","1","82","109","225","94"
"Q75_Strt_Tim_Lng_Evt","149","190","57","136","110","225","144"
"Q90_Strt_Tim_Lng_Evt","151","360","189","169",NA,"225","218"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","spr","sum","win"
"Q50_Strt_Sea_Lng_Evt","spr","win","win","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","spr","sum","win","spr","spr","sum","spr"
"Q90_Strt_Sea_Lng_Evt","spr","win","sum","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","134","232","365","338","77","109","209"
"Q50_Dur_Lng_Evt","94","95","365","166","65","37","137"
"Q75_Dur_Lng_Evt","77","21","90","100","56","14","59"
"Q90_Dur_Lng_Evt","3","7","50","65",NA,"6","26"
"Init_Mag","1392.442","450.149","4162.311","330.849","11.744","3.519","1058.502"
"Init_Tim","88","-38","-3","-93","-37","-56","-23.167"
"Init_Dur","14","9","12","18","5","19","12.833"
"Wet_BFL_Mag_10","0.92","33.81","340.54","509.82","0","0","147.515"
"Wet_BFL_Mag_50","733.6","1202.1","1908.6","1088.8","11.1","0","824.033"
"Wet_Tim","75","185","52","78","-24","218","97.333"
"Wet_BFL_Dur","123","12","28","129","171","10","78.833"
"Peak_Mag_Ann","1827.7","7759","35054.8","4078.9","1232.8","5924","9312.867"
"Peak_Mag_Tim","356","363","79","206","114","225","223.833"
"Peak_Mag_95",NA,"7759","4435.3","3476.9",NA,"5639","5327.55"
"Peak_Mag_90","1703.8","1715.3","3729.9","2760.3",NA,"5354","3052.66"
"Peak_Mag_80","1564.6","1650.6","2813.8","1374","1232.8","3867","2083.8"
"Peak_Dur_95",NA,"6","63","40",NA,"8","29.25"
"Peak_Dur_90","11","14","123","67",NA,"10","45"
"Peak_Dur_80","73","25","174","107","54","16","74.833"
"Peak_Fre_95",NA,"1","7","2",NA,"2","3"
"Peak_Fre_90","5","3","7","2",NA,"3","4"
"Peak_Fre_80","5","4","8","4","1","2","4"
"Peak_Tim_95",NA,"361","78","177",NA,"230","211.5"
"Peak_Tim_90","169","191","126","135",NA,"235","171.2"
"Peak_Tim_80","206","125","47","123.5","110","234","140.917"
"Rec_Mag","1227.5","1585.9","35054.8","4078.9","1227.4","5560","8122.417"
"Rec_Tim","197","196","79","206","146","227","175.167"
"Rec_Dur","61","101","176","122","143","106","118.167"
"Rec_ROC","0.137","0.188","0.119","0.147","0.223","0.257","0.178"
"Dry_Mag_90","441.7","1343.09","338.54","10.38","0","37.4","361.852"
"Dry_Mag_50","80.2","289.05","156.4","3.85","0","0","88.25"
"Dry_Mag_10","2.72","0.87","61.14","0.62","0","0","10.892"
"Dry_Tim","258","297","255","328","289","333","293.333"
"Dry_Dur","293","122","189","14","295","34","157.833"
"Dry_NoFL_Days","0","7","0","0","293","24","54"
"No_Peaks_Avg",NA,"1","1.4","3.5",NA,"1","1.725"
"No_Peaks_Max",NA,"1","2","6",NA,"1","2.5"
"Frac_V_Cent_Avg",NA,"0.75","0.609","0.513",NA,"0.633","0.626"
"Frac_V_Cent_Max",NA,"0.75","0.286","0.526",NA,"0.6","0.54"
