"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","309.877","253.907","733.249","325.326","313.115","451.192","397.737"
"SD_Ann","505.357","322.609","1080.313","474.026","371.402","691.104","647.696"
"CV_Ann","1.631","1.271","1.473","1.457","1.186","1.532","1.628"
"Q10_Mag","55.82","71","47","61","62.64","96.25","62.6"
"Q25_Mag","81.7","83","82","104","104.2","118.3","93.9"
"Q50_Mag","107.2","122","148","132","142.3","207.5","131"
"Q75_Mag","266","288","1175","367","344.8","617.1","425.475"
"Q90_Mag","943.62","688","2000.4","764.4","768.72","914.8","1018.95"
"Q10_Tim","90","34","1","19","18","80","40"
"Q25_Tim","108","109","24","26","74","103","74"
"Q50_Tim","63","95","31","33","79","102","67"
"Q75_Tim","9","140","2","56","70","150","71"
"Q90_Tim","8","296","10","70","37","220","106"
"Q10_Fre","4","2","1","2","2","2","2"
"Q25_Fre","10","6","3","3","4","4","5"
"Q50_Fre","6","5","4","3","6","8","5"
"Q75_Fre","4","4","2","6","6","4","4"
"Q90_Fre","2","3","2","4","2","4","2"
"Q10_Dur","311","342","302","326","345","362","331"
"Q25_Dur","228","246","262","300","311","334","280"
"Q50_Dur","160","153","198","225","216","235","197"
"Q75_Dur","63","63","145","76","85","143","95"
"Q90_Dur","30","17","111","18","23","34","38"
"Q10_Mag_Lng_Evt","2921.1","1334","6352","3691","1974.9","1998.7","3045"
"Q25_Mag_Lng_Evt","2921.1","1334","6352","3691","1974.9","1998.7","3045"
"Q50_Mag_Lng_Evt","2921.1","1334","6352","3691","1974.9","1998.7","3045"
"Q75_Mag_Lng_Evt","2921.1","1334","6352","3691","1974.9","8740.8","4168"
"Q90_Mag_Lng_Evt","2921.1","2066","6352","3691","1974.9","8740.8","4290"
"Q10_Strt_Tim_Lng_Evt","1","1","1","6","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","7","1","1","2"
"Q50_Strt_Tim_Lng_Evt","1","1","1","12","1","1","2"
"Q75_Strt_Tim_Lng_Evt","1","12","1","36","21","304","62"
"Q90_Strt_Tim_Lng_Evt","1","358","11","47","35","304","126"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q90_Strt_Sea_Lng_Evt","win","win","win","win","win","aut","win"
"Q10_Dur_Lng_Evt","193","308","302","314","328","249","282"
"Q25_Dur_Lng_Evt","128","146","238","283","225","204","204"
"Q50_Dur_Lng_Evt","127","90","166","205","131","149","144"
"Q75_Dur_Lng_Evt","56","38","144","60","63","63","70"
"Q90_Dur_Lng_Evt","23","9","105","8","22","12","29"
"Init_Mag","2549.7","176.509","2820.762","1332.042","593.95","444.012","1319.496"
"Init_Tim","1","-14","33","39","10","-11","9.667"
"Init_Dur","5","21","9","6","30","7","13"
"Wet_BFL_Mag_10","1521.9","128","450.8","132","172.92","280.4","447.67"
"Wet_BFL_Mag_50","1990.2","263","1330.5","453","540.25","446.1","837.175"
"Wet_Tim","1","6","-36","30","-1","-5","-0.833"
"Wet_BFL_Dur","17","124","134","127","42","19","77.167"
"Peak_Mag_Ann","2921.1","2066","6352","3691","1974.9","8740.8","4290.967"
"Peak_Mag_Tim","17","360","97","47","40","305","144.333"
"Peak_Mag_95","2272.35","1956","3340","2621","1974.9","5369.75","2922.333"
"Peak_Mag_90","2272.35","1846","3899.5","2319","1500.7","1685.4","2253.825"
"Peak_Mag_80","2921.1","1334","6352","2621","667.85","1143.3","2506.542"
"Peak_Dur_95","23","5","54","11","13","11","19.5"
"Peak_Dur_90","30","17","111","18","23","34","38.833"
"Peak_Dur_80","46","49","125","52","63","107","73.667"
"Peak_Fre_95","2","2","6","3","1","2","2.667"
"Peak_Fre_90","2","3","2","4","2","4","2.833"
"Peak_Fre_80","1","3","1","3","4","7","3.167"
"Peak_Tim_95","16","353","58","47","35","158.5","111.25"
"Peak_Tim_90","15.5","345","6","63","52.5","178","110"
"Peak_Tim_80","1","24","1","70","96.5","70","43.75"
"Rec_Mag","2921.1","479","6352","2621","1974.9","1998.7","2724.45"
"Rec_Tim","17","129","97","156","40","13","75.333"
"Rec_Dur","179","28","206","171","276","149","168.167"
"Rec_ROC","0.085","0.137","0.073","0.052","0.06","0.063","0.078"
"Dry_Mag_90","131.6","115","349.8","129","394.94","950.78","345.187"
"Dry_Mag_50","89.45","83.5","47","54","61.8","124.7","76.742"
"Dry_Mag_10","49","55","44","50","35.9","80.3","52.367"
"Dry_Tim","196","157","303","327","316","162","243.5"
"Dry_Dur","176","174","93","38","45","205","121.833"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg","1.667","1","1.429","1","1","1","1.183"
"No_Peaks_Max","3","1","1","1","1","1","1.333"
"Frac_V_Cent_Avg","0.743","0.583","0.646","0.556","0.867","0.464","0.643"
"Frac_V_Cent_Max","0.562","0.667","0.385","0.5","0.6","0.429","0.524"
