"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","289.872","172.926","2246.434","298.671","291.366","275.141","595.396"
"SD_Ann","358.358","125.115","3929.474","372.202","263.376","319.458","1785.329"
"CV_Ann","1.236","0.724","1.749","1.246","0.904","1.161","2.999"
"Q10_Mag","94.16","19.5","54.24","68.7","5.56","91.1","54"
"Q25_Mag","125.3","70","112.8","90.4","91.8","120.3","105.8"
"Q50_Mag","150.7","134","201.5","131.3","174","140.55","150.35"
"Q75_Mag","264.2","255.75","2534.8","277.7","539.3","255.4","361.375"
"Q90_Mag","503.86","374.5","7160.08","870.84","740.58","865.75","1085.38"
"Q10_Tim","1","48","19","34","45","19","27"
"Q25_Tim","134","162","107","144","83","121","125"
"Q50_Tim","122","147","85","124","63","132","112"
"Q75_Tim","25","147","20","108","101","131","88"
"Q90_Tim","22",NA,"24","118",NA,"97","65"
"Q10_Fre","1","1","1","2","1","2","1"
"Q25_Fre","4","3","6","11","2","4","5"
"Q50_Fre","11","4","6","6","2","3","5"
"Q75_Fre","3","3","1","2","1","2","2"
"Q90_Fre","1",NA,"1","2",NA,"1","1"
"Q10_Dur","365","311","329","339","292","349","330"
"Q25_Dur","315","241","289","248","260","320","278"
"Q50_Dur","190","168","236","164","202","155","185"
"Q75_Dur","68","53","172","78","111","66","91"
"Q90_Dur","25",NA,"146","25",NA,"24","55"
"Q10_Mag_Lng_Evt","1719.8","432","18028.1","1731.1","793","1272.7","3996"
"Q25_Mag_Lng_Evt","1719.8","432","18028.1","1385","793","1272.7","3938"
"Q50_Mag_Lng_Evt","1719.8","432","18028.1","1385","793","1272.7","3938"
"Q75_Mag_Lng_Evt","1719.8","432","18028.1","1385","793","1272.7","3938"
"Q90_Mag_Lng_Evt","1719.8",NA,"18028.1","1385",NA,"1272.7","5601"
"Q10_Strt_Tim_Lng_Evt","1","48","19","35","45","19","27"
"Q25_Strt_Tim_Lng_Evt","1","48","19","114","51","36","44"
"Q50_Strt_Tim_Lng_Evt","1","49","19","115","61","56","50"
"Q75_Strt_Tim_Lng_Evt","1","110","20","128","101","82","73"
"Q90_Strt_Tim_Lng_Evt","22",NA,"24","163",NA,"97","76"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","spr","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","spr","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","spr","win","spr","spr","spr","spr"
"Q90_Strt_Sea_Lng_Evt","win",NA,"win","sum",NA,"spr","win"
"Q10_Dur_Lng_Evt","365","311","329","325","292","348","328"
"Q25_Dur_Lng_Evt","109","99","183","86","227","203","151"
"Q50_Dur_Lng_Evt","72","98","179","77","200","110","122"
"Q75_Dur_Lng_Evt","59","34","172","55","111","53","80"
"Q90_Dur_Lng_Evt","25",NA,"146","13",NA,"24","52"
"Init_Mag","1680.475","148.748","3158.376","1501.974","264.94","141.939","1149.409"
"Init_Tim","38","-91","58","75","-36","44","14.667"
"Init_Dur","38","17","5","5","32","18","19.167"
"Wet_BFL_Mag_10","92.27","7","2161.53","83.58","12.45","168.89","420.953"
"Wet_BFL_Mag_50","205.7","145.3","4965.45","536.9","156","543.6","1092.158"
"Wet_Tim","11","-109","73","52","-58","53","3.667"
"Wet_BFL_Dur","198","241","50","117","196","62","144"
"Peak_Mag_Ann","1719.8","432","18028.1","1731.1","793","1272.7","3996.117"
"Peak_Mag_Tim","39","131","122","74","117","114","99.5"
"Peak_Mag_95",NA,NA,"10648.5",NA,NA,NA,"10648.5"
"Peak_Mag_90","1719.8",NA,"18028.1","1558.05",NA,"1272.7","5644.662"
"Peak_Mag_80","1719.8",NA,"18028.1","1558.05","793","934.15","4606.62"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90","25",NA,"146","25",NA,"24","55"
"Peak_Dur_80","39",NA,"168","72","103","57","87.8"
"Peak_Fre_95",NA,NA,"2",NA,NA,NA,"2"
"Peak_Fre_90","1",NA,"1","2",NA,"1","1.25"
"Peak_Fre_80","1",NA,"1","2","1","2","1.4"
"Peak_Tim_95",NA,NA,"60.5",NA,NA,NA,"60.5"
"Peak_Tim_90","22",NA,"24","116",NA,"97","64.75"
"Peak_Tim_80","16",NA,"20","96.5","105","207","88.9"
"Rec_Mag","400.5","432","18028.1","1385","785.9","1272.7","3717.367"
"Rec_Tim","208","131","122","168","137","114","146.667"
"Rec_Dur","48","160","80","41","211","62","100.333"
"Rec_ROC","0.039","0.03","0.054","0.109","0.018","0.04","0.048"
"Dry_Mag_90","92.1","2407.7","186.9","120.58","137.9","246.4","531.93"
"Dry_Mag_50","92.1","289","126.15","99","50.9","132.7","131.642"
"Dry_Mag_10","92.1","14.1","0","70","0.6","107.3","47.35"
"Dry_Tim","256","291","202","209","348","176","247"
"Dry_Dur","1","149","216","99","71","191","121.167"
"Dry_NoFL_Days","0","0","36","0","2","0","6.333"
"No_Peaks_Avg",NA,NA,"0.667",NA,NA,NA,"0.667"
"No_Peaks_Max",NA,NA,"1",NA,NA,NA,"1"
"Frac_V_Cent_Avg",NA,NA,"0.53",NA,NA,NA,"0.53"
"Frac_V_Cent_Max",NA,NA,"0.444",NA,NA,NA,"0.444"
