"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","65.174","80.729","1267.741","132.419","26.341","262.164","305.639"
"SD_Ann","131.027","255.965","3314.797","180.041","63.133","1323.21","1525.632"
"CV_Ann","2.01","3.171","2.615","1.36","2.397","5.047","4.992"
"Q10_Mag","0","0","60","0","0","0","0"
"Q25_Mag","0","0","117.4","0","0","0","0"
"Q50_Mag","0","0","312.5","35.6","0","0","2.55"
"Q75_Mag","37.7","104.725","685.3","219.8","4.2","1.45","155.575"
"Q90_Mag","253.98","231.4","2667.58","408.22","92.6","66.95","421.91"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","123","87","1","74","113","254","108"
"Q75_Tim","176","98","94","143","142","238","148"
"Q90_Tim","158","364","75","184",NA,"225","201"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","6","5","1","4","4","3","3"
"Q75_Fre","4","6","7","4","4","3","4"
"Q90_Fre","2","1","7","3",NA,"1","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","142","174","365","246","98","85","185"
"Q75_Dur","70","75","245","132","24","25","95"
"Q90_Dur","16","3","160","36",NA,"18","46"
"Q10_Mag_Lng_Evt","667.9","3371.7","21794.5","744.4","340","10937.7","6309"
"Q25_Mag_Lng_Evt","667.9","3371.7","21794.5","744.4","340","10937.7","6309"
"Q50_Mag_Lng_Evt","667.9","381.1","21794.5","744.4","340","396.8","4054"
"Q75_Mag_Lng_Evt","667.9","381.1","21794.5","744.4","340","10937.7","5810"
"Q90_Mag_Lng_Evt","667.9","3371.7","21794.5","744.4",NA,"10937.7","7503"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","155","19","1","86","136","280","112"
"Q75_Strt_Tim_Lng_Evt","155","20","56","153","137","225","124"
"Q90_Strt_Tim_Lng_Evt","156","364","56","187",NA,"225","197"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","win","win","spr","spr","aut","spr"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","spr","spr","sum","spr"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","69","100","365","178","52","42","134"
"Q75_Dur_Lng_Evt","43","28","103","83","11","19","47"
"Q90_Dur_Lng_Evt","15","3","96","33",NA,"18","33"
"Init_Mag","83.382","218.064","1655.631","146.524","247.885","70.034","403.587"
"Init_Tim","2","-5","0","-66","0","-86","-25.833"
"Init_Dur","1","10","18","14","7","12","10.333"
"Wet_BFL_Mag_10","0",NA,"2181.75","23.18","0","0","440.986"
"Wet_BFL_Mag_50","1.4",NA,"6447.65","227.75","0","0","1335.36"
"Wet_Tim","81",NA,"60","80","-11","211","84.2"
"Wet_BFL_Dur","105",NA,"26","132","190","19","94.4"
"Peak_Mag_Ann","667.9","3371.7","21794.5","744.4","340","10937.7","6309.367"
"Peak_Mag_Tim","156","365","85","211","138","226","196.833"
"Peak_Mag_95",NA,"3371.7","1571.3","744.4",NA,"10937.7","4156.275"
"Peak_Mag_90","569.9","3371.7","741","453.3",NA,"10937.7","3214.72"
"Peak_Mag_80","321.95","321.3","653.6","279.9","306.75","5667.25","1258.458"
"Peak_Dur_95",NA,"3","90","1",NA,"17","27.75"
"Peak_Dur_90","16","3","160","36",NA,"18","46.6"
"Peak_Dur_80","57","59","220","99","14","22","78.5"
"Peak_Fre_95",NA,"1","5","1",NA,"1","2"
"Peak_Fre_90","2","1","7","3",NA,"1","2.8"
"Peak_Fre_80","4","5","5","7","2","2","4.167"
"Peak_Tim_95",NA,"364","41","211",NA,"225","210.25"
"Peak_Tim_90","170.5","364","56","178",NA,"225","198.7"
"Peak_Tim_80","181.5","199","170","153","69","258.5","171.833"
"Rec_Mag","471.9","321.3","21794.5","744.4","186.8","8684.1","5367.167"
"Rec_Tim","185","213","85","211","178","229","183.5"
"Rec_Dur","57","31","191","57","21","38","65.833"
"Rec_ROC","0.31","0.467","0.124","0.297","0.139","0.351","0.281"
"Dry_Mag_90",NA,"533.4","106.49","0","0","53.68","138.714"
"Dry_Mag_50",NA,"0","48.5","0","0","1.85","10.07"
"Dry_Mag_10",NA,"0","1.17","0","0","0","0.234"
"Dry_Tim","242","244","276","268","199","267","249.333"
"Dry_Dur",NA,"183","170","87","378","100","183.6"
"Dry_NoFL_Days",NA,"113","14","87","366","31","122.2"
"No_Peaks_Avg",NA,"1","2.5","1",NA,"4","2.125"
"No_Peaks_Max",NA,"1","6","1",NA,"4","3"
"Frac_V_Cent_Avg",NA,"0.5","0.525","1",NA,"0.353","0.595"
"Frac_V_Cent_Max",NA,"0.5","0.722","1",NA,"0.353","0.644"
