"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","65.174","80.729","1250.262","132.419","13.102","262.164","300.524"
"SD_Ann","131.027","255.965","3321.125","180.041","41.395","1323.21","1526.379"
"CV_Ann","2.01","3.171","2.656","1.36","3.159","5.047","5.079"
"Q10_Mag","0","0","3.52","0","0","0","0"
"Q25_Mag","0","0","54.8","0","0","0","0"
"Q50_Mag","0","0","312.5","35.6","0","0","1.3"
"Q75_Mag","37.7","104.725","685.3","219.8","4.2","1.45","143.4"
"Q90_Mag","253.98","231.4","2667.58","408.22","15.74","66.95","421.91"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","119","87","61","74","111","256","118"
"Q75_Tim","171","94","87","143","149","238","146"
"Q90_Tim","158","364","75","184",NA,"225","201"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","6","5","4","4","4","3","4"
"Q75_Fre","5","6","5","5","3","3","4"
"Q90_Fre","2","1","7","3",NA,"1","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","150","176","352","248","100","93","186"
"Q75_Dur","73","80","236","135","14","25","93"
"Q90_Dur","16","3","160","36",NA,"18","46"
"Q10_Mag_Lng_Evt","667.9","3371.7","21794.5","744.4","273.5","10937.7","6298"
"Q25_Mag_Lng_Evt","667.9","3371.7","21794.5","744.4","273.5","10937.7","6298"
"Q50_Mag_Lng_Evt","667.9","381.1","21794.5","744.4","186.8","396.8","4028"
"Q75_Mag_Lng_Evt","667.9","381.1","21794.5","744.4","186.8","10937.7","5785"
"Q90_Mag_Lng_Evt","667.9","3371.7","21794.5","744.4",NA,"10937.7","7503"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","155","19","1","86","136","280","112"
"Q75_Strt_Tim_Lng_Evt","155","20","56","153","177","225","131"
"Q90_Strt_Tim_Lng_Evt","156","364","56","187",NA,"225","197"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","win","win","spr","spr","aut","spr"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","spr","sum","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","sum",NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","69","100","284","179","52","51","122"
"Q75_Dur_Lng_Evt","44","28","103","84","7","19","47"
"Q90_Dur_Lng_Evt","15","3","96","33",NA,"18","33"
"Init_Mag","83.382","218.064","1655.631","62.642","247.885","70.034","389.606"
"Init_Tim","2","-5","0","-98","0","-86","-31.167"
"Init_Dur","1","10","18","8","7","12","9.333"
"Wet_BFL_Mag_10","0",NA,"2181.75","23.18","0","0","440.986"
"Wet_BFL_Mag_50","1.4",NA,"6447.65","227.75","0","0","1335.36"
"Wet_Tim","81",NA,"60","80","-11","211","84.2"
"Wet_BFL_Dur","105",NA,"26","132","190","19","94.4"
"Peak_Mag_Ann","667.9","3371.7","21794.5","744.4","273.5","10937.7","6298.283"
"Peak_Mag_Tim","156","365","85","211","1","226","174"
"Peak_Mag_95",NA,"3371.7","1571.3","744.4",NA,"10937.7","4156.275"
"Peak_Mag_90","569.9","3371.7","741","453.3",NA,"10937.7","3214.72"
"Peak_Mag_80","321.95","321.3","653.6","279.9","273.5","396.8","374.508"
"Peak_Dur_95",NA,"3","90","1",NA,"17","27.75"
"Peak_Dur_90","16","3","160","36",NA,"18","46.6"
"Peak_Dur_80","59","61","221","100","4","23","78"
"Peak_Fre_95",NA,"1","5","1",NA,"1","2"
"Peak_Fre_90","2","1","7","3",NA,"1","2.8"
"Peak_Fre_80","4","5","5","7","1","3","4.167"
"Peak_Tim_95",NA,"364","41","211",NA,"225","210.25"
"Peak_Tim_90","170.5","364","56","178",NA,"225","198.7"
"Peak_Tim_80","181.5","199","169","153","1","255","159.75"
"Rec_Mag","471.9","321.3","21794.5","744.4","186.8","8684.1","5367.167"
"Rec_Tim","185","213","85","211","178","229","183.5"
"Rec_Dur","57","31","174","57","21","38","63"
"Rec_ROC","0.31","0.467","0.135","0.297","0.139","0.351","0.283"
"Dry_Mag_90",NA,"533.4","80.32","0","0","53.68","133.48"
"Dry_Mag_50",NA,"0","21.7","0","0","1.85","4.71"
"Dry_Mag_10",NA,"0","0.3","0","0","0","0.06"
"Dry_Tim","242","244","259","268","199","267","246.5"
"Dry_Dur",NA,"183","187","87","378","100","187"
"Dry_NoFL_Days",NA,"113","14","87","366","31","122.2"
"No_Peaks_Avg",NA,"1","2.5","1",NA,"4","2.125"
"No_Peaks_Max",NA,"1","6","1",NA,"4","3"
"Frac_V_Cent_Avg",NA,"0.5","0.525","1",NA,"0.353","0.595"
"Frac_V_Cent_Max",NA,"0.5","0.722","1",NA,"0.353","0.644"
