"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","234.791","295.161","5978.536","193.687","79.68","1949.616","1454.941"
"SD_Ann","374.147","329.825","9484.966","220.563","177.799","3841.42","4686.342"
"CV_Ann","1.594","1.117","1.587","1.139","2.231","1.97","3.221"
"Q10_Mag","0","0","101.28","0","0","0","0"
"Q25_Mag","0","0","536.5","2.4","0","0","0"
"Q50_Mag","28","226.3","1140.4","139.8","0","0","91.4"
"Q75_Mag","386.7","494.525","6214.3","327","13.8","845.7","531.475"
"Q90_Mag","652.58","656.65","24070.18","436.76","405.56","9857.5","2880.02"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","196","67","103","127","207","229","154"
"Q75_Tim","294","134","97","161","318","234","206"
"Q90_Tim",NA,NA,"36",NA,NA,"240","137"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","5","4","3","7","2","2","3"
"Q75_Fre","4","9","2","4","2","2","3"
"Q90_Fre",NA,NA,"3",NA,NA,"1","2"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","161","206","339","212","71","121","185"
"Q75_Dur","56","69","278","22","24","106","92"
"Q90_Dur",NA,NA,"147",NA,NA,"78","112"
"Q10_Mag_Lng_Evt","1970.9","1927.5","33697.2","1485.6","846.6","13306.9","8872"
"Q25_Mag_Lng_Evt","1970.9","1927.5","33697.2","1485.6","846.6","13306.9","8872"
"Q50_Mag_Lng_Evt","1388.5","907.9","33697.2","625.5","846.6","13306.9","8462"
"Q75_Mag_Lng_Evt","1970.9","907.9","33697.2","1174.2","647.3","13306.9","8617"
"Q90_Mag_Lng_Evt",NA,NA,"33697.2",NA,NA,"13306.9","23502"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","304","1","1","1","305","239","141"
"Q75_Strt_Tim_Lng_Evt","234","1","1","277","319","240","178"
"Q90_Strt_Tim_Lng_Evt",NA,NA,"39",NA,NA,"240","139"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","aut","win","win","win","aut","sum","win"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","aut","aut","sum","aut"
"Q90_Strt_Sea_Lng_Evt",NA,NA,"win",NA,NA,"sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","62","155","198","77","48","109","108"
"Q75_Dur_Lng_Evt","20","17","177","11","22","100","57"
"Q90_Dur_Lng_Evt",NA,NA,"119",NA,NA,"78","98"
"Init_Mag","405.786","1504.267","943.33","266.353","871.69","600.271","765.283"
"Init_Tim","5","-125","-117","-150","-82","-38","-84.5"
"Init_Dur","4","25","33","17","11","12","17"
"Wet_BFL_Mag_10",NA,"0.8","6699.8","42.39","0.02",NA,"1685.753"
"Wet_BFL_Mag_50",NA,"465.6","23086.3","415.7","132.4",NA,"6025"
"Wet_Tim","5","-162","71","-110","-94",NA,"-58"
"Wet_BFL_Dur",NA,"299","61","268","103",NA,"182.75"
"Peak_Mag_Ann","1970.9","1927.5","33697.2","1485.6","846.6","13306.9","8872.45"
"Peak_Mag_Tim","241","366","131","156","308","251","242.167"
"Peak_Mag_95",NA,NA,"33697.2",NA,NA,"12508","23102.6"
"Peak_Mag_90",NA,NA,"6231.5",NA,NA,"13306.9","9769.2"
"Peak_Mag_80","1388.5","907.9","1376.8","1329.9","846.6","7166.45","2169.358"
"Peak_Dur_95",NA,NA,"66",NA,NA,"44","55"
"Peak_Dur_90",NA,NA,"147",NA,NA,"78","112.5"
"Peak_Dur_80","37","37","254","10","1","104","73.833"
"Peak_Fre_95",NA,NA,"1",NA,NA,"2","1.5"
"Peak_Fre_90",NA,NA,"3",NA,NA,"1","2"
"Peak_Fre_80","3","7","5","2","1","2","3.333"
"Peak_Tim_95",NA,NA,"81",NA,NA,"273","177"
"Peak_Tim_90",NA,NA,"39",NA,NA,"240","139.5"
"Peak_Tim_80","305","237","283","217","308","187","256.167"
"Rec_Mag","453.8","836.1","33697.2","868.3","455","1026","6222.733"
"Rec_Tim","3","136","131","157","8","135","95"
"Rec_Dur","98","30","68","47","34","20","49.5"
"Rec_ROC","0.124","0.15","0.09","0.159","0.119","0.326","0.161"
"Dry_Mag_90","0","5538.11","322.84","0",NA,"10767.43","3325.676"
"Dry_Mag_50","0","0.95","101.7","0",NA,"157.55","52.04"
"Dry_Mag_10","0","0","21.72","0",NA,"0","4.344"
"Dry_Tim","101","166","199","204","42","155","144.5"
"Dry_Dur","103","272","57","68",NA,"212","142.4"
"Dry_NoFL_Days","103","132","0","68",NA,"84","77.4"
"No_Peaks_Avg",NA,NA,"0.5",NA,NA,"2.5","1.5"
"No_Peaks_Max",NA,NA,"1",NA,NA,"4","2.5"
"Frac_V_Cent_Avg",NA,NA,"0.587",NA,NA,"0.521","0.554"
"Frac_V_Cent_Max",NA,NA,"0.537",NA,NA,"0.486","0.512"
