"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","21.836","82.592","1158.207","58.445","19.878","273.381","268.973"
"SD_Ann","53.868","225.305","3123.667","83.504","62.175","1142.242","1419.346"
"CV_Ann","2.467","2.728","2.697","1.429","3.128","4.178","5.277"
"Q10_Mag","0","0","44.7","0","0","0","0"
"Q25_Mag","0","0","96.5","0","0","0","0"
"Q50_Mag","0","4.3","230.7","21.1","0","0","3.9"
"Q75_Mag","9.2","92.4","632.2","78.5","10.1","8.175","98.925"
"Q90_Mag","74.66","194.65","2482.36","185.34","64.06","228.05","300.36"
"Q10_Tim","1","1","1","1","1","1","1"
"Q25_Tim","1","1","1","1","1","1","1"
"Q50_Tim","96","99","1","69","148","227","106"
"Q75_Tim","140","108","86","157","187","247","154"
"Q90_Tim","161","253","73","122","277","252","189"
"Q10_Fre","1","1","1","1","1","1","1"
"Q25_Fre","1","1","1","1","1","1","1"
"Q50_Fre","3","4","1","3","4","1","2"
"Q75_Fre","2","8","6","6","4","2","4"
"Q90_Fre","1","5","7","3","1","3","3"
"Q10_Dur","365","366","365","365","365","366","365"
"Q25_Dur","365","366","365","365","365","366","365"
"Q50_Dur","121","186","365","238","99","98","184"
"Q75_Dur","33","96","276","84","24","57","95"
"Q90_Dur","2","17","163","10","2","39","38"
"Q10_Mag_Lng_Evt","327.1","2096","21159.5","379","821.7","8252.8","5506"
"Q25_Mag_Lng_Evt","327.1","2096","21159.5","379","821.7","8252.8","5506"
"Q50_Mag_Lng_Evt","327.1","343.9","21159.5","379","190.8","8252.8","5108"
"Q75_Mag_Lng_Evt","327.1","343.9","21159.5","318.8","821.7","8252.8","5203"
"Q90_Mag_Lng_Evt","327.1","2096","21159.5","379","821.7","8252.8","5506"
"Q10_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q25_Strt_Tim_Lng_Evt","1","1","1","1","1","1","1"
"Q50_Strt_Tim_Lng_Evt","160","1","1","92","146","227","104"
"Q75_Strt_Tim_Lng_Evt","160","26","1","189","277","227","146"
"Q90_Strt_Tim_Lng_Evt","161","359","58","97","277","227","196"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","sum","win","win","spr","spr","sum","spr"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","sum","aut","sum","sum"
"Q90_Strt_Sea_Lng_Evt","sum","win","win","spr","aut","sum","sum"
"Q10_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q25_Dur_Lng_Evt","365","366","365","365","365","366","365"
"Q50_Dur_Lng_Evt","60","106","365","173","51","98","142"
"Q75_Dur_Lng_Evt","23","27","157","37","9","36","48"
"Q90_Dur_Lng_Evt","2","8","97","7","2","20","22"
"Init_Mag","31.02","104.957","940.19","129.739","95.597","167.409","244.819"
"Init_Tim","11","8","-22","-62","8","-90","-24.5"
"Init_Dur","8","11","10","12","18","10","11.5"
"Wet_BFL_Mag_10","0",NA,"2138.25","2.88","0","0","428.226"
"Wet_BFL_Mag_50","0",NA,"5398.3","49.5","0","0","1089.56"
"Wet_Tim","86","330","64","-72","0","213","103.5"
"Wet_BFL_Dur","85",NA,"26","287","184","21","120.6"
"Peak_Mag_Ann","327.1","2096","21159.5","379","821.7","8252.8","5506.017"
"Peak_Mag_Tim","162","363","89","99","277","233","203.833"
"Peak_Mag_95",NA,"1969.7","1755.8",NA,"821.7","1230.5","1444.425"
"Peak_Mag_90","327.1","859","440.3","318.8","821.7","1320.5","681.233"
"Peak_Mag_80","259.35","336.8","370.5","299.1","190.8","4696.65","1025.533"
"Peak_Dur_95",NA,"8","80",NA,"1","22","27.75"
"Peak_Dur_90","2","17","163","10","2","39","38.833"
"Peak_Dur_80","25","59","249","60","9","53","75.833"
"Peak_Fre_95",NA,"3","5",NA,"1","4","3.25"
"Peak_Fre_90","1","5","7","3","1","3","3.333"
"Peak_Fre_80","2","9","6","7","3","2","4.833"
"Peak_Tim_95",NA,"343","59",NA,"277","269.5","237.125"
"Peak_Tim_90","161","132","204","159","277","256","198.167"
"Peak_Tim_80","126.5","73","281.5","168","147","253.5","174.917"
"Rec_Mag","273.5","859","21159.5","299.1","121.5","8252.8","5160.9"
"Rec_Tim","170","132","89","214","183","233","170.167"
"Rec_Dur","57","118","193","57","24","107","92.667"
"Rec_ROC","0.248","0.331","0.118","0.183","0.286","0.185","0.225"
"Dry_Mag_90","135.5","611.2","45.36","0","0","0","132.01"
"Dry_Mag_50","0","0","40.5","0","0","0","6.75"
"Dry_Mag_10","0","0","29.21","0","0","0","4.868"
"Dry_Tim","227","250","282","271","207","340","262.833"
"Dry_Dur","469","181","12","95","372","27","192.667"
"Dry_NoFL_Days","297","91","0","95","335","27","140.833"
"No_Peaks_Avg",NA,"1","2.4",NA,"1","1.25","1.413"
"No_Peaks_Max",NA,"1","5",NA,"1","2","2.25"
"Frac_V_Cent_Avg",NA,"0.708","0.606",NA,"1","0.618","0.733"
"Frac_V_Cent_Max",NA,"0.5","0.818",NA,"1","0.471","0.697"
