"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","88.78","222.964","1395.311","145.302","121.668","70.32","340.547"
"SD_Ann","84.641","310.471","1503.42","164.982","101.599","102.075","790.863"
"CV_Ann","0.953","1.392","1.077","1.135","0.835","1.452","2.322"
"Q10_Mag","28.74","35.95","40.44","33.22","30.78","21.1","28.2"
"Q25_Mag","41.2","44.8","63.9","55.5","53.4","26.125","44.7"
"Q50_Mag","67.7","84.3","194.4","78.4","89.5","44.2","73.2"
"Q75_Mag","98.8","191.575","3280.2","154.5","148.6","61.075","154.5"
"Q90_Mag","156.8","571.25","3459.54","399.34","263.36","126.3","639.24"
"Q10_Tim","132","1","75","35","54","118","69"
"Q25_Tim","138","78","91","100","130","186","120"
"Q50_Tim","172","129","68","158","178","188","148"
"Q75_Tim","148","99","27","141","210","166","131"
"Q90_Tim",NA,"87","23","156",NA,"116","95"
"Q10_Fre","5","1","3","4","3","6","3"
"Q25_Fre","8","6","3","4","5","13","6"
"Q50_Fre","9","7","5","9","7","5","7"
"Q75_Fre","4","6","3","4","7","2","4"
"Q90_Fre",NA,"2","1","1",NA,"1","1"
"Q10_Dur","337","366","353","340","336","262","332"
"Q25_Dur","254","281","329","315","319","185","280"
"Q50_Dur","165","209","250","215","242","61","190"
"Q75_Dur","38","117","188","92","87","32","92"
"Q90_Dur",NA,"31","175","12",NA,"2","55"
"Q10_Mag_Lng_Evt","415.6","1524","3868.1","747.1","524.6","650.4","1288"
"Q25_Mag_Lng_Evt","415.6","1524","3868.1","747.1","524.6","650.4","1288"
"Q50_Mag_Lng_Evt","415.6","1524","3868.1","747.1","346.7","650.4","1258"
"Q75_Mag_Lng_Evt","415.6","1524","3868.1","747.1","295","650.4","1250"
"Q90_Mag_Lng_Evt",NA,"1524","3868.1","747.1",NA,"650.4","1697"
"Q10_Strt_Tim_Lng_Evt","178","1","1","26","58","103","61"
"Q25_Strt_Tim_Lng_Evt","185","20","20","28","190","103","91"
"Q50_Strt_Tim_Lng_Evt","194","39","21","89","193","111","107"
"Q75_Strt_Tim_Lng_Evt","198","40","21","124","195","112","115"
"Q90_Strt_Tim_Lng_Evt",NA,"76","23","156",NA,"116","92"
"Q10_Strt_Sea_Lng_Evt","sum","win","win","win","win","spr","win"
"Q25_Strt_Sea_Lng_Evt","sum","win","win","win","sum","spr","win"
"Q50_Strt_Sea_Lng_Evt","sum","win","win","spr","sum","spr","spr"
"Q75_Strt_Sea_Lng_Evt","sum","win","win","spr","sum","spr","spr"
"Q90_Strt_Sea_Lng_Evt",NA,"spr","win","sum",NA,"spr","spr"
"Q10_Dur_Lng_Evt","136","366","254","325","308","217","267"
"Q25_Dur_Lng_Evt","124","214","234","229","176","78","175"
"Q50_Dur_Lng_Evt","36","78","201","119","128","33","99"
"Q75_Dur_Lng_Evt","20","72","183","72","19","24","65"
"Q90_Dur_Lng_Evt",NA,"27","175","12",NA,"2","54"
"Init_Mag","68.284","1466.076","155.58","115.915","126.595","460.178","398.771"
"Init_Tim","6","94","-112","-102","-53","-12","-29.833"
"Init_Dur","5","25","18","6","8","13","12.5"
"Wet_BFL_Mag_10","38.4","68.7","1040.64","153.68","25.67","20.5","224.598"
"Wet_BFL_Mag_50","93.55","381.6","3280.45","409.9","73.2","26.7","710.9"
"Wet_Tim","63","35","16","119","-72","-24","22.833"
"Wet_BFL_Dur","144","129","134","43","298","142","148.333"
"Peak_Mag_Ann","537.3","1524","3868.1","747.1","524.6","650.4","1308.583"
"Peak_Mag_Tim","82","94","149","161","353","117","159.333"
"Peak_Mag_95",NA,NA,"3868.1",NA,NA,NA,"3868.1"
"Peak_Mag_90",NA,"1099.1","3868.1","747.1",NA,"650.4","1591.175"
"Peak_Mag_80","476.45","1099.1","3868.1","495.1","295","650.4","1147.358"
"Peak_Dur_95",NA,NA,"110",NA,NA,NA,"110"
"Peak_Dur_90",NA,"31","175","12",NA,"2","55"
"Peak_Dur_80","22","90","181","69","59","21","73.667"
"Peak_Fre_95",NA,NA,"1",NA,NA,NA,"1"
"Peak_Fre_90",NA,"2","1","1",NA,"1","1.25"
"Peak_Fre_80","2","2","1","2","7","1","2.5"
"Peak_Tim_95",NA,NA,"66",NA,NA,NA,"66"
"Peak_Tim_90",NA,"118.5","23","156",NA,"116","103.375"
"Peak_Tim_80","140","99.5","21","114","197","113","114.083"
"Rec_Mag","415.6","669","3868.1","747.1","263.8","650.4","1102.333"
"Rec_Tim","206","163","149","161","225","117","170.167"
"Rec_Dur","113","74","99","72","103","237","116.333"
"Rec_ROC","0.072","0.079","0.051","0.09","0.053","0.07","0.069"
"Dry_Mag_90","46.58","136.4","113.2","97.1","75.9","35.22","84.067"
"Dry_Mag_50","37.9","42.4","60","72.9","68.1","16.8","49.683"
"Dry_Mag_10","27.36","32.85","26.1","45.9","53.43","9.54","32.53"
"Dry_Tim","319","237","248","233","328","354","286.5"
"Dry_Dur","82","146","237","61","14","13","92.167"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,NA,"5.5",NA,NA,NA,"5.5"
"No_Peaks_Max",NA,NA,"9",NA,NA,NA,"9"
"Frac_V_Cent_Avg",NA,NA,"0.509",NA,NA,NA,"0.509"
"Frac_V_Cent_Max",NA,NA,"0.518",NA,NA,NA,"0.518"
