"","2014","2015","2016","2017","2018","2019","All_Years_Avg"
"Avg_Ann","66.202","52.443","583.238","75.137","62.102","95.871","155.758"
"SD_Ann","47.66","52.986","1957.778","53.93","52.9","100.462","822.772"
"CV_Ann","0.72","1.01","3.357","0.718","0.852","1.048","5.282"
"Q10_Mag","14.18","14","11","22.88","14.9","21.95","16"
"Q25_Mag","19","18","47","36.5","31.1","39.625","27.55"
"Q50_Mag","61.3","25.5","68","62.9","44.5","72.55","58"
"Q75_Mag","102.9","75.75","124","102.1","92.3","103.45","96"
"Q90_Mag","118.08","95.5","1225.8","111.8","97.74","190.2","134.3"
"Q10_Tim","120","116","43","1","61","82","70"
"Q25_Tim","115","57","112","59","55","81","79"
"Q50_Tim","91","29","171","93","47","101","88"
"Q75_Tim","31","105","177","71","80","164","104"
"Q90_Tim","77","118","171","129","125","157","129"
"Q10_Fre","5","3","1","1","3","2","2"
"Q25_Fre","5","7","3","3","2","2","3"
"Q50_Fre","5","3","7","7","4","5","5"
"Q75_Fre","4","5","5","4","7","5","5"
"Q90_Fre","2","2","3","3","2","5","2"
"Q10_Dur","300","318","323","365","316","360","330"
"Q25_Dur","230","174","304","320","296","328","275"
"Q50_Dur","186","146","209","205","147","208","183"
"Q75_Dur","114","37","111","131","52","121","94"
"Q90_Dur","21","20","90","20","17","53","36"
"Q10_Mag_Lng_Evt","206.9","331","16726","401.2","374.5","600.1","3106"
"Q25_Mag_Lng_Evt","206.9","331","16726","401.2","374.5","600.1","3106"
"Q50_Mag_Lng_Evt","206.9","331","16726","401.2","104.3","600.1","3061"
"Q75_Mag_Lng_Evt","206.9","331","16726","122.7","98.8","600.1","3014"
"Q90_Mag_Lng_Evt","206.9","331","16726","401.2","374.5","403.2","3073"
"Q10_Strt_Tim_Lng_Evt","1","1","43","1","1","1","8"
"Q25_Strt_Tim_Lng_Evt","1","1","44","1","1","1","8"
"Q50_Strt_Tim_Lng_Evt","1","1","49","1","1","10","10"
"Q75_Strt_Tim_Lng_Evt","1","61","72","9","12","15","28"
"Q90_Strt_Tim_Lng_Evt","90","61","76","111","115","133","97"
"Q10_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q25_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q50_Strt_Sea_Lng_Evt","win","win","win","win","win","win","win"
"Q75_Strt_Sea_Lng_Evt","win","win","spr","win","win","win","win"
"Q90_Strt_Sea_Lng_Evt","spr","win","spr","spr","spr","spr","spr"
"Q10_Dur_Lng_Evt","155","145","323","365","254","242","247"
"Q25_Dur_Lng_Evt","136","139","216","260","245","231","204"
"Q50_Dur_Lng_Evt","132","134","86","132","110","146","123"
"Q75_Dur_Lng_Evt","103","18","59","83","20","49","55"
"Q90_Dur_Lng_Evt","13","16","53","12","14","18","21"
"Init_Mag","175.053","47.02","47.685","345.676","44.001","91.512","125.158"
"Init_Tim","61","-135","-38","-71","-64","-32","-46.5"
"Init_Dur","14","11","34","12","10","34","19.167"
"Wet_BFL_Mag_10","98.06","46.7","93.8","63.8","58.06","69.65","71.678"
"Wet_BFL_Mag_50","109.8","89","2090","103.2","93.1","87.15","428.708"
"Wet_Tim","51","-80","68","-95","-54","5","-17.5"
"Wet_BFL_Dur","49","148","37","209","173","136","125.333"
"Peak_Mag_Ann","206.9","331","16726","401.2","374.5","641.2","3113.467"
"Peak_Mag_Tim","99","67","104","113","118","286","131.167"
"Peak_Mag_95",NA,"298.5","8565.5","401.2","374.5","501.65","2028.27"
"Peak_Mag_90","197.85","265.5","405","184.8","263.55","403.2","286.65"
"Peak_Mag_80","155.85","200","305","122.7","128.45","326.9","206.483"
"Peak_Dur_95",NA,"6","60","7","8","29","22"
"Peak_Dur_90","21","20","90","20","17","53","36.833"
"Peak_Dur_80","95","28","102","101","24","94","74"
"Peak_Fre_95",NA,"2","2","1","1","4","2"
"Peak_Fre_90","2","2","3","3","2","5","2.833"
"Peak_Fre_80","4","3","4","5","4","7","4.5"
"Peak_Tim_95",NA,"67.5","182","112","117","209.5","137.6"
"Peak_Tim_90","73.5","203","286","111","144","133","158.417"
"Peak_Tim_80","193","61","245","98","143.5","283","170.583"
"Rec_Mag","206.9","331","16726","401.2","374.5","403.2","3073.8"
"Rec_Tim","99","67","104","113","118","140","106.833"
"Rec_Dur","58","126","33","158","141","103","103.167"
"Rec_ROC","0.036","0.067","0.137","0.043","0.029","0.026","0.056"
"Dry_Mag_90","36.76","78.9","78.7","36.7","53.42","190.77","79.208"
"Dry_Mag_50","15.8","18","53.5","20.5","26.8","56.4","31.833"
"Dry_Mag_10","12.4","7","31.3","19.6","14.41","16.93","16.94"
"Dry_Tim","157","193","137","271","259","243","210"
"Dry_Dur","129","242","134","41","112","124","130.333"
"Dry_NoFL_Days","0","0","0","0","0","0","0"
"No_Peaks_Avg",NA,"1","1.667","1","1","1","1.133"
"No_Peaks_Max",NA,"1","2","1","1","1","1.2"
"Frac_V_Cent_Avg",NA,"0.8","0.535","0.571","0.5","0.552","0.592"
"Frac_V_Cent_Max",NA,"0.6","0.394","0.571","0.5","0.6","0.533"
